candidate_id,source_anchor,exact_source_expression,source_inputs,grade,component_fidelity,grade_scope,formula_tree_preserved,cadence_change,universe_change,portfolio_rule,portfolio_rule_source_support,operator_and_input_convention,known_material_deviation,realized_return_handling,native_agent_replication,full_search_or_training_pipeline_reproduced,mapping_frozen_before_outcomes,independent_outcome_blind_second_coder,admissible_claim,negative_evidence_boundary
efs_regime_switched_return_volatility,"EFS Table VI, CSI300 formula 1","cs_zscore((ts_mean(returns,30)+ts_decay_linear(returns,10))/(ts_std(returns,7)*ts_std(if_else(ts_momentum(prices,14)>0,ts_delay(returns,5),ts_delay(returns,30)),30)))","returns, prices",B-conditional,conditional_operator_tree_monthly_adaptation,formula_tree_with_researcher_set_m_and_equal_weights,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-weight long-only top-10,source supports long-only top-m; researcher sets m=10 and equal weights,prices=abs(prc); sample time-series std; cs_zscore uses monthly population std; cs_rank is centered percentile rank; differences for delta/momentum; decay weights 1..n,daily bars become monthly U.S. JKP bars; researcher sets m=10 and equal weights,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
efs_multi_horizon_mean_volatility,"EFS Table VI, CSI300 formula 2","cs_zscore((ts_mean(returns,10)+ts_mean(returns,30))/(ts_std(returns,7)+ts_std(ts_delay(returns,14),30)))",returns,B-conditional,conditional_operator_tree_monthly_adaptation,formula_tree_with_researcher_set_m_and_equal_weights,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-weight long-only top-10,source supports long-only top-m; researcher sets m=10 and equal weights,prices=abs(prc); sample time-series std; cs_zscore uses monthly population std; cs_rank is centered percentile rank; differences for delta/momentum; decay weights 1..n,daily bars become monthly U.S. JKP bars; researcher sets m=10 and equal weights,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
efs_skew_gated_breakout,"EFS Table VI, US50 formula","cs_zscore((ts_max(prices,30)-ts_decay_linear(prices,21))/((ts_std(returns,3)+ts_std(returns,30))*if_else(ts_skew(returns,14)<0,ts_std(returns,7),ts_std(returns,21))))","returns, prices",B-conditional,conditional_operator_tree_monthly_adaptation,formula_tree_with_researcher_set_m_and_equal_weights,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-weight long-only top-10,source supports long-only top-m; researcher sets m=10 and equal weights,prices=abs(prc); sample time-series std; cs_zscore uses monthly population std; cs_rank is centered percentile rank; differences for delta/momentum; decay weights 1..n,daily bars become monthly U.S. JKP bars; researcher sets m=10 and equal weights,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
efs_decay_return_dispersion,"EFS Table VI, HSI45 formula 1","cs_zscore(ts_decay_linear(returns,30)/ts_std(ts_delta(returns,10)-ts_delta(returns,30),30))",returns,B-conditional,conditional_operator_tree_monthly_adaptation,formula_tree_with_researcher_set_m_and_equal_weights,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-weight long-only top-10,source supports long-only top-m; researcher sets m=10 and equal weights,prices=abs(prc); sample time-series std; cs_zscore uses monthly population std; cs_rank is centered percentile rank; differences for delta/momentum; decay weights 1..n,daily bars become monthly U.S. JKP bars; researcher sets m=10 and equal weights,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
efs_regime_momentum_normalized_mean,"EFS Table VI, HSI45 formula 2","cs_rank(ts_mean(returns,14)/(ts_std(if_else(ts_momentum(prices,7)<0,ts_momentum(prices,21),ts_momentum(prices,3)),30)+ts_std(ts_delay(returns,7),21)))","returns, prices",B-conditional,conditional_operator_tree_monthly_adaptation,formula_tree_with_researcher_set_m_and_equal_weights,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-weight long-only top-10,source supports long-only top-m; researcher sets m=10 and equal weights,prices=abs(prc); sample time-series std; cs_zscore uses monthly population std; cs_rank is centered percentile rank; differences for delta/momentum; decay weights 1..n,daily bars become monthly U.S. JKP bars; researcher sets m=10 and equal weights,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
quantevolver_return_sharpe_60,QuantEvolver released seed_candidates.yaml,"div(ts_mean(returns(60)),ts_std(returns(60)))",returns,B,source_disclosed_operator_tree_monthly_adaptation,semantics_pinned_disclosed_formula_component_only,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-mean top/bottom 20% long-short,"released equal-mean top/bottom-quintile legs preserved; unlike source pair/dropna before ranking, this runner selects ex ante and imputes missing selected returns to the same-leg observed mean without altering weights",close=abs(prc); released returns/std/div/zscore epsilons=1e-8; log_volume=log(abs(tvol)+1e-8); Pearson corr returns 0 for <2 or std<1e-12,60/120 source bars become months; evolution and prediction model omitted,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
quantevolver_price_zscore_reversal_120,QuantEvolver released seed_candidates.yaml,"neg(zscore(last(close(120)),close(120)))",close,B,source_disclosed_operator_tree_monthly_adaptation,semantics_pinned_disclosed_formula_component_only,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-mean top/bottom 20% long-short,"released equal-mean top/bottom-quintile legs preserved; unlike source pair/dropna before ranking, this runner selects ex ante and imputes missing selected returns to the same-leg observed mean without altering weights",close=abs(prc); released returns/std/div/zscore epsilons=1e-8; log_volume=log(abs(tvol)+1e-8); Pearson corr returns 0 for <2 or std<1e-12,60/120 source bars become months; evolution and prediction model omitted,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
quantevolver_return_log_volume_corr_60,QuantEvolver released seed_candidates.yaml,"corr(returns(60),log_arr(volume(60)))","returns, volume",B,source_disclosed_operator_tree_monthly_adaptation,semantics_pinned_disclosed_formula_component_only,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-mean top/bottom 20% long-short,"released equal-mean top/bottom-quintile legs preserved; unlike source pair/dropna before ranking, this runner selects ex ante and imputes missing selected returns to the same-leg observed mean without altering weights",close=abs(prc); released returns/std/div/zscore epsilons=1e-8; log_volume=log(abs(tvol)+1e-8); Pearson corr returns 0 for <2 or std<1e-12,60/120 source bars become months; evolution and prediction model omitted,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
alpha_jungle_volume_ma_diff,"Alpha-Jungle Table 7, formula 4","Diff(Ma(volume,20),3)/Ma(volume,60)",volume,C-conditional,conditional_reconstructed_formula_monthly_adaptation,reconstructed_operators_and_researcher_portfolio_only,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-weight long-only top-10,researcher supplied; source formula normally feeds a daily ML model,Pct=x/x.shift(n)-1; Diff=x-x.shift(n); reconstructed rolling operators,daily China bars become U.S. months; MCTS and prediction model omitted,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
alpha_jungle_multiscale_price_volume,"Alpha-Jungle Table 7, formula 5","Corr(Pct(close,10),Pct(volume,10),10)*Corr(Pct(close,30),Pct(volume,30),30)*Skew(volume,20)","close, volume",C-conditional,conditional_reconstructed_formula_monthly_adaptation,reconstructed_operators_and_researcher_portfolio_only,True,source daily/intraday bars are replaced by monthly JKP bars,source universe to monthly top-1000 U.S. equities,monthly equal-weight long-only top-10,researcher supplied; source formula normally feeds a daily ML model,Pct=x/x.shift(n)-1; Diff=x-x.shift(n); reconstructed rolling operators,daily China bars become U.S. months; MCTS and prediction model omitted,"analytical missing-data convention: targets use the full scored formation universe; missing/nonconsecutive selected holdings receive the observed same-leg mean for both excess and total return without reranking, substitution, or weight changes; an empty required leg omits the candidate-month and resets state",False,False,False,False,"performance of a disclosed formula component after explicit monthly, universe, and portfolio adaptations","failure may not be attributed to the source agent, native market/cadence, search or training procedure, or paper-level performance claim"
