month,Mkt-RF,SMB,HML,RMW,CMA,Mom,RF
2022-04-30,-0.0941,-0.013500000000000002,0.061799999999999994,0.0341,0.0592,0.0499,0.0
2022-05-31,-0.0034000000000000002,-0.0184,0.08439999999999999,0.0155,0.0395,0.0252,0.0003
2022-06-30,-0.084,0.0207,-0.06,0.0176,-0.0458,0.010700000000000001,0.0006
2022-07-31,0.09570000000000001,0.028399999999999998,-0.0415,0.0077,-0.06849999999999999,-0.0438,0.0008
2022-08-31,-0.0377,0.0141,0.0018,-0.047400000000000005,0.0132,0.0189,0.0019
2022-09-30,-0.0934,-0.0076,0.0003,-0.013300000000000001,-0.0077,0.0371,0.0019
2022-10-31,0.0785,0.0001,0.0797,0.0327,0.0643,0.0392,0.0023
2022-11-30,0.04650000000000001,-0.035699999999999996,0.0148,0.0629,0.0315,-0.0171,0.0029
2022-12-31,-0.0638,-0.0076,0.0134,0.0034000000000000002,0.042800000000000005,0.049400000000000006,0.0033
2023-01-31,0.0661,0.0501,-0.0394,-0.024399999999999998,-0.0443,-0.16210000000000002,0.0034999999999999996
2023-02-28,-0.025699999999999997,0.0105,-0.008,0.009899999999999999,-0.0151,0.0054,0.0034000000000000002
2023-03-31,0.0248,-0.0548,-0.09050000000000001,0.0227,-0.021,-0.023700000000000002,0.0036
2023-04-30,0.0062,-0.0337,-0.0012,0.0241,0.0285,0.0175,0.0034999999999999996
2023-05-31,0.0034000000000000002,0.016,-0.0779,-0.0178,-0.0708,-0.009000000000000001,0.0036
2023-06-30,0.0646,0.0149,-0.0013,0.0231,-0.0154,-0.027000000000000003,0.004
2023-07-31,0.0321,0.020499999999999997,0.0406,-0.0059,0.0066,-0.039599999999999996,0.0045000000000000005
2023-08-31,-0.0236,-0.0313,-0.0115,0.0333,-0.023700000000000002,0.0391,0.0045000000000000005
2023-09-30,-0.052300000000000006,-0.025,0.015,0.018500000000000003,-0.0075,0.0027,0.0043
2023-10-31,-0.0315,-0.0387,0.002,0.0241,-0.0072,0.0169,0.004699999999999999
2023-11-30,0.0888,-0.001,0.0167,-0.0373,-0.0108,0.0253,0.0044
2023-12-31,0.048499999999999995,0.06280000000000001,0.0489,-0.0294,0.0126,-0.0548,0.0043
2024-01-31,0.0073,-0.050499999999999996,-0.023799999999999998,0.0064,-0.0095,0.0545,0.004699999999999999
2024-02-29,0.0507,-0.0026,-0.034300000000000004,-0.0203,-0.022099999999999998,0.0501,0.0042
2024-03-31,0.028399999999999998,-0.025,0.0416,0.0132,0.011399999999999999,-0.0032,0.0043
2024-04-30,-0.04650000000000001,-0.023799999999999998,-0.0045000000000000005,0.0115,-0.0034000000000000002,-0.0045000000000000005,0.004699999999999999
2024-05-31,0.0433,0.0053,-0.0131,0.0321,-0.028999999999999998,0.014499999999999999,0.0044
2024-06-30,0.027999999999999997,-0.03,-0.0336,0.005600000000000001,-0.0179,0.0086,0.0040999999999999995
2024-07-31,0.012199999999999999,0.0681,0.0557,0.0026,0.0027,-0.0236,0.0045000000000000005
2024-08-31,0.016,-0.0349,-0.0113,0.0075,0.0079,0.0487,0.0048
2024-09-30,0.0172,-0.0013,-0.0273,0.0019,-0.0025,-0.005600000000000001,0.004
2024-10-31,-0.01,-0.0095,0.0091,-0.0149,0.0102,0.0292,0.0039000000000000003
2024-11-30,0.0649,0.0449,0.0038,-0.0227,-0.019299999999999998,0.009399999999999999,0.004
2024-12-31,-0.0317,-0.027000000000000003,-0.0297,0.018799999999999997,-0.012,-0.0034000000000000002,0.0037
2025-01-31,0.027999999999999997,-0.02,0.0176,-0.0235,-0.0322,0.009899999999999999,0.0037
2025-02-28,-0.024399999999999998,-0.057699999999999994,0.0484,0.010700000000000001,0.030899999999999997,-0.0085,0.0033
2025-03-31,-0.0639,-0.027200000000000002,0.0287,0.0209,-0.0046,-0.0259,0.0034000000000000002
