case,month,net_return,factor_replication_return,residual,selected_lambda
zero_cost_0,2009-08-31,-0.06942736908490951,-0.09097988328788136,0.021552514202971843,1000.0
zero_cost_0,2009-09-30,-0.010356451776362453,-0.03177502563561175,0.021418573859249296,1000.0
zero_cost_0,2009-10-31,0.03589792994013008,0.03761729589086464,-0.001719365950734561,1000.0
zero_cost_0,2009-11-30,-0.01653771336530852,-0.0026641810533959086,-0.01387353231191261,1000.0
zero_cost_0,2009-12-31,0.0027980131007270715,0.05155495705547197,-0.0487569439547449,1000.0
zero_cost_0,2010-01-31,0.07314225511516056,-0.04039416044015758,0.11353641555531815,1000.0
zero_cost_0,2010-02-28,0.019564452322575688,0.03711148889131232,-0.017547036568736633,1000.0
zero_cost_0,2010-03-31,0.07896385312292334,0.02751363343633187,0.05145021968659147,1000.0
zero_cost_0,2010-04-30,0.028346050689572615,0.04521093221044187,-0.016864881520869252,1000.0
zero_cost_0,2010-05-31,-0.037474794319063254,0.02291912517428848,-0.06039391949335174,1000.0
zero_cost_0,2010-06-30,-0.07289259282746385,-0.022276805507952333,-0.050615787319511524,1000.0
zero_cost_0,2010-07-31,0.08699093820032602,-0.004298947485448573,0.09128988568577459,1000.0
zero_cost_0,2010-08-31,-0.08320873746019,0.021340908491572136,-0.10454964595176214,1000.0
zero_cost_0,2010-09-30,0.051560448490860916,0.03335992388291422,0.018200524607946696,1000.0
zero_cost_0,2010-10-31,0.036869752300099555,0.01231300842749548,0.024556743872604075,1000.0
zero_cost_0,2010-11-30,0.06115566584826898,0.046879291385007606,0.014276374463261375,1000.0
zero_cost_0,2010-12-31,-0.05697835976578451,-0.06797402973298527,0.010995669967200764,1000.0
zero_cost_0,2011-01-31,-0.0422995963241525,-0.02150861964649956,-0.02079097667765294,1000.0
zero_cost_0,2011-02-28,-0.023387601405518557,0.0189802086189069,-0.042367810024425454,1000.0
zero_cost_0,2011-03-31,0.01387156053165094,0.03563921958103041,-0.02176765904937947,1000.0
zero_cost_0,2011-04-30,0.017313510611557194,0.014379371570300028,0.0029341390412571666,1000.0
zero_cost_0,2011-05-31,-0.012528388328876896,-0.006093830572875606,-0.00643455775600129,1000.0
zero_cost_0,2011-06-30,-0.005532933716003743,0.025951767772233257,-0.031484701488236996,1000.0
zero_cost_0,2011-07-31,-0.013589199738667129,0.04093543631786895,-0.05452463605653608,1000.0
zero_cost_0,2011-08-31,-0.10710715201318292,0.014365670144238188,-0.12147282215742111,1000.0
zero_cost_0,2011-09-30,-0.1409150498467101,-0.05693194602898453,-0.08398310381772559,1000.0
zero_cost_0,2011-10-31,0.08915172992712427,0.09341304621034717,-0.0042613162832229046,10.0
zero_cost_0,2011-11-30,-0.014655895430117485,0.06336933337057346,-0.07802522880069095,10.0
zero_cost_0,2011-12-31,-0.06353212931394973,-0.03911492064255455,-0.024417208671395185,10.0
zero_cost_0,2012-01-31,-0.04646927982742211,-0.04563407589836732,-0.0008352039290547911,10.0
zero_cost_0,2012-02-29,-0.02758621050571169,0.0016414719448779782,-0.029227682450589668,10.0
zero_cost_0,2012-03-31,-0.028087569756996503,-0.044181315389834976,0.016093745632838472,10.0
zero_cost_0,2012-04-30,0.045553297808846066,0.04227400367762776,0.003279294131218309,10.0
zero_cost_0,2012-05-31,0.10572164824025078,0.05615503931485829,0.04956660892539249,10.0
zero_cost_0,2012-06-30,0.022518828496283918,-0.018719032516090937,0.04123786101237485,10.0
zero_cost_0,2012-07-31,0.036553129346188824,0.007388363995191303,0.02916476535099752,10.0
zero_cost_0,2012-08-31,-0.018198425322435954,-0.03777067017455398,0.019572244852118028,10.0
zero_cost_0,2012-09-30,-0.008405181064497266,-0.0022397458026073005,-0.006165435261889966,10.0
zero_cost_0,2012-10-31,-0.004240863552089989,-0.002142774414313111,-0.0020980891377768785,10.0
zero_cost_0,2012-11-30,0.007931259835248741,0.011884189918386238,-0.003952930083137497,10.0
zero_cost_0,2012-12-31,-0.03442993370293869,0.04502932326036561,-0.0794592569633043,10.0
zero_cost_0,2013-01-31,-0.03971596696353904,0.015622775827468944,-0.055338742791007985,100.0
zero_cost_0,2013-02-28,0.028980531022893566,0.03091014090803879,-0.0019296098851452233,100.0
zero_cost_0,2013-03-31,0.02746192137516046,0.011446426889690942,0.016015494485469517,100.0
zero_cost_0,2013-04-30,0.0014314709868694898,0.02834007350583086,-0.02690860251896137,100.0
zero_cost_0,2013-05-31,0.014624480248409266,-0.005126490180023835,0.0197509704284331,100.0
