figure,panel,source_panel_recovered,raw_result_array_recovered,author_native_pipeline_executed,author_native_panel_regenerated,paper_result_credit,blocking_reason
study1,b,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study1,c,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study1,d,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study1,e,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study1,f,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study1,g,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study1,h,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,a,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,b,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,c,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,d,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,e,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,f,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,g,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,h,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
human_analysis,i,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study3,b,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study3,c,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
study3,d,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
main,a,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
main,b,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
main,c,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
main,d,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
main_2026q1,a,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
main_2026q1,b,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
main_2026q1,c,True,False,False,False,False,"no public TrustTrade implementation, exact model calls/settings, participant outputs, 2026 traces, decisions, fills, portfolio paths, baseline outputs, or raw plot arrays"
