ticker,variant,metric,inactive_source_table_value,computed_value,computed_display_2dp,matches_printed_precision,final_value,buy_days,sell_days,hold_days,baseline_percentages_follow_human_widget_choices,variant_note,table_active_in_published_pdf,trusttrade_result_credit,evidence_class
AAPL,paper_literal_production_loader,cr,2.34,2.346100000000,2.35,False,10234.610000000002,8,29,24,False,production loader cents; V0-to-first-day return included per printed V0..VT notation,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,paper_literal_production_loader,arr,10.04,10.054047231990,10.05,False,10234.610000000002,8,29,24,False,production loader cents; V0-to-first-day return included per printed V0..VT notation,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,paper_literal_production_loader,sr,1.44,1.431152520411,1.43,False,10234.610000000002,8,29,24,False,production loader cents; V0-to-first-day return included per printed V0..VT notation,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,paper_literal_production_loader,mdd,1.37,1.376234898545,1.38,False,10234.610000000002,8,29,24,False,production loader cents; V0-to-first-day return included per printed V0..VT notation,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,common_post_day_production_loader,cr,2.34,2.346100000000,2.35,False,10234.610000000002,8,29,24,False,production loader cents; returns begin between consecutive displayed day-end values,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,common_post_day_production_loader,arr,10.04,10.054047231990,10.05,False,10234.610000000002,8,29,24,False,production loader cents; returns begin between consecutive displayed day-end values,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,common_post_day_production_loader,sr,1.44,1.442928437620,1.44,True,10234.610000000002,8,29,24,False,production loader cents; returns begin between consecutive displayed day-end values,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,common_post_day_production_loader,mdd,1.37,1.376234898545,1.38,False,10234.610000000002,8,29,24,False,production loader cents; returns begin between consecutive displayed day-end values,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,raw_csv_sensitivity,cr,2.34,2.344333343506,2.34,True,10234.433334350586,8,29,24,False,unrounded CSV closes; returns begin between consecutive displayed day-end values,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,raw_csv_sensitivity,arr,10.04,10.046199470351,10.05,False,10234.433334350586,8,29,24,False,unrounded CSV closes; returns begin between consecutive displayed day-end values,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,raw_csv_sensitivity,sr,1.44,1.442281716549,1.44,True,10234.433334350586,8,29,24,False,unrounded CSV closes; returns begin between consecutive displayed day-end values,False,False,paper_linked_interface_baseline_component_sensitivity
AAPL,raw_csv_sensitivity,mdd,1.37,1.374587008180,1.37,True,10234.433334350586,8,29,24,False,unrounded CSV closes; returns begin between consecutive displayed day-end values,False,False,paper_linked_interface_baseline_component_sensitivity
GOOG,paper_literal_production_loader,cr,6.15,6.327800000000,6.33,False,10632.779999999999,9,28,24,False,production loader cents; V0-to-first-day return included per printed V0..VT notation,False,False,paper_linked_interface_baseline_component_sensitivity
