figure,source_asset,source_asset_sha256,empirical_panels,description,author_rendered_asset_recovered,underlying_numeric_array_or_run_log_recovered,author_native_figure_regenerated,paper_result_credit
fig:metaps_framework,imgs/framework.png,071d99b81fe16dd72bde514799f19e8d0f9bb71b51dca86892774ea0b1e0bd81,0,conceptual pipeline,True,False,False,False
fig:main_baseline_return,imgs/fig_paper_main_baseline_return.png,abaa6c6699e17ae5df778546a30b274089c9526c523979c239fde49161797478,1,stock return bar comparison,True,False,False,False
fig:return_cumulative_baselines,imgs/fig_return_cumulative_baselines.png,35be0dbdceabf94e41127dab51e335f67eeb188753aa5d1f651baee73582c449,1,stock cumulative-return trajectories,True,False,False,False
fig:main_strategy_behavior,imgs/fig_main_strategy_behavior.png,c8ebbe34b18974ac4ee1c4c55b194181a0893a80331fc186fded05430d4f86e6,2,SFT and held-out strategy distributions,True,False,False,False
fig:cmp_across_size,imgs/cmp_across_size.png,b44094cde10e2a2eb10acdf4a76f647329448b2ab6813106c4083a12a13eedda,1,risk-return comparison across scales,True,False,False,False
fig:cmp_across_size_bar,imgs/cmpreturn_across_size_bar.png,0b2570851b1957f621e22330882594d7cee8e9a57a5f04b04fc3b62cf6de02ba,1,return comparison across scales,True,False,False,False
fig:appendix_equity_curves_2025,imgs/fig_appendix_equity_curves_2025.png,b79c0b40ecec47dc19a39f85e9985ab76f9ce72ecdb5fd9d32403e75beb4ebbe,2,best-run and top-five equity curves,True,False,False,False
fig:return_equity_curves_baselines,imgs/fig_return_equity_curves_baselines.png,8905ac73e652403b9608f487e78aadda4d9dbd178e4a0b75ef3b2ccf298bbfb0,1,representative baseline equity curves,True,False,False,False
fig:return_excess_metaps9b,imgs/fig_return_excess_metaps9b.png,0373ce57afaea64f3e632f205e34ee94b45c04a9c8262d4fd0323bad70702c89,1,return gaps relative to MetaPS-9B V3,True,False,False,False
fig:appendix_drawdown_curves_2025,imgs/fig_appendix_drawdown_curves_2025.png,49dc9abba98ace8629aea7389f2fa791d8b1b21e1e469ba456a86ce53540278f,1,top-six drawdown curves,True,False,False,False
fig:return_drawdown_baselines,imgs/fig_return_drawdown_baselines.png,f5c0f1cc86be4edbda395ad350f5a29724b7539c8443347948d6e4c8a764aa71,1,representative baseline drawdowns,True,False,False,False
fig:appendix_block_returns_2025,imgs/fig_appendix_block_returns_2025.png,a12278d7cab7661af1ba5a861d574c892d1b272283fe9587047163a9a20062f4,1,block-level returns,True,False,False,False
fig:return_monthly_heatmap,imgs/fig_return_monthly_heatmap.png,fbe30fb3e84649e67678fd44288ced4d2197b84f64f5a19b7fa26e70580fca5f,1,monthly returns,True,False,False,False
fig:appendix_main_risk_return,imgs/fig_paper_main_risk_return.png,61d8138e25db14a0d992fd82419bc7c94c2fbbf5d840e994e5573dc6fc0b960b,1,risk-return scatter,True,False,False,False
fig:appendix_context_ablation,imgs/fig_paper_context_ablation.png,b6859054c911d6d13fe101a831b56dcfb131c323ac2de23b2a05c16ce6dc0f42,1,context ablation,True,False,False,False
fig:appendix_scale_heatmap,imgs/fig_paper_scale_objective_heatmap.png,094e7e9badd5e2ece2cf1cb7e7323282f5578b8a5d8702d1f0cc282af2456ac5,1,scale-objective returns,True,False,False,False
fig:strategy_distribution_heatmap,imgs/fig_strategy_distribution_heatmap.png,7d52f3eb719d357025d7d0b65f268d05ed7eb93a1286f3c685d39234a887a735,1,strategy distributions,True,False,False,False
fig:best_model_action_distribution,imgs/fig_best_model_action_distribution.png,93baea3f7aa7dd2a52c6cb79b003b4278179cdb6ff3e2f6b2664cdd46817bb0d,1,held-out action distribution,True,False,False,False
fig:training_label_distribution,imgs/fig_training_label_distribution.png,c57fc4255e2a7c607b09327ff435fec030f06583a00167e1d3709999fd99373f,1,SFT action-label distribution,True,False,False,False
