paper_table,entity,market,period,metric,paper_value,cell_role,native_reproduced_value,absolute_difference,status,reason
1,training,S&P500,2015-01 to 2019-12,trading_days,1258.0,configuration,,,paper_configuration_recovered_without_frozen_dataset,"preprint-era Qlib configs recover the market/split protocol, but the exact Baostock/Yahoo panels and their trading-day calendars are not shipped"
1,validation,S&P500,2020-01 to 2020-12,trading_days,253.0,configuration,,,paper_configuration_recovered_without_frozen_dataset,"preprint-era Qlib configs recover the market/split protocol, but the exact Baostock/Yahoo panels and their trading-day calendars are not shipped"
1,testing,S&P500,2021-01 to 2025-01,trading_days,1004.0,configuration,,,paper_configuration_recovered_without_frozen_dataset,"preprint-era Qlib configs recover the market/split protocol, but the exact Baostock/Yahoo panels and their trading-day calendars are not shipped"
1,training,CSI500,2015-01 to 2019-12,trading_days,1219.0,configuration,,,paper_configuration_recovered_without_frozen_dataset,"preprint-era Qlib configs recover the market/split protocol, but the exact Baostock/Yahoo panels and their trading-day calendars are not shipped"
1,validation,CSI500,2020-01 to 2020-12,trading_days,243.0,configuration,,,paper_configuration_recovered_without_frozen_dataset,"preprint-era Qlib configs recover the market/split protocol, but the exact Baostock/Yahoo panels and their trading-day calendars are not shipped"
1,testing,CSI500,2021-01 to 2025-01,trading_days,968.0,configuration,,,paper_configuration_recovered_without_frozen_dataset,"preprint-era Qlib configs recover the market/split protocol, but the exact Baostock/Yahoo panels and their trading-day calendars are not shipped"
2,LSTM,CSI500,2021-01-01 to 2024-12-31,IC,0.0175,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LSTM,CSI500,2021-01-01 to 2024-12-31,ICIR,0.1521,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LSTM,CSI500,2021-01-01 to 2024-12-31,AR_pct,4.96,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LSTM,CSI500,2021-01-01 to 2024-12-31,IR,0.6225,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LSTM,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-9.68,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
