section,claim,paper_value,unit,claim_role,claim_kind,native_reproduced_value,status,paper_result_credit
Abstract,reasoning model size,8,B parameters,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Methodology,linear reward history,4,years,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Methodology,previous-day factor lag,1,day,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Methodology,base reward scaling,100,multiplier,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Methodology,example holding period,5,days,configuration,example_not_binding,,unavailable_official_repository_has_no_native_result_or_configuration,False
Methodology,judge normalization denominator,10,score units,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Execution,slot holding period,5,days,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Execution,concurrent slots,5,slots,configuration,derived_from_H,,unavailable_official_repository_has_no_native_result_or_configuration,False
Execution,average daily slot turnover,0.2,capital fraction,configuration,derived_from_H,,unavailable_official_repository_has_no_native_result_or_configuration,False
Execution,VWAP window,30,minutes,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Execution,VWAP start minute,931,HHMM,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Execution,VWAP end minute,1000,HHMM,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Execution,bilateral fee,0.1,pct each side,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Execution,bilateral fee,10,bps each side,configuration,duplicate_unit,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,retained Alpha101 factors,82,factors,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,training samples per trading date,300,samples,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,random candidate factors per sample,40,factors,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,test candidate factors,40,factors,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,holding period,5,days,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,concurrent sub-portfolios,5,slots,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,stocks per slot,10,stocks,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,VWAP window,30,minutes,configuration,duplicate_method,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,transaction cost,0.1,pct each side,configuration,duplicate_method,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,backbone size,8,B parameters,configuration,duplicate_abstract,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,temperature,0,temperature,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,top_p,0.7,probability,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Experiments,independent runs,5,runs,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,XGBoost CR,-10.03,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,A2C CR,-5.52,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,A2C Sharpe,-0.85,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,PPO CR,0.89,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,PPO Sharpe,0.11,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,generic LLM lower approximate drawdown,15,pct,result,approximate_range,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,generic LLM upper approximate drawdown,16,pct,result,approximate_range,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,Alpha-R1 Sharpe,1.62,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI300,Alpha-R1 MDD,6.76,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,A2C CSI300 CR,-5.52,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,A2C CSI300 Sharpe,-0.85,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,PPO CSI300 CR,0.89,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,PPO CSI300 Sharpe,0.11,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,A2C CR,11.8,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,PPO CR,-6.44,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,PPO MDD,29.31,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,Alpha-R1 CR,42.49,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Results CSI1000,Alpha-R1 Sharpe,4.03,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Ablation,base model Sharpe,-0.77,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Ablation,semantic-description Sharpe decline,49,pct,result,derived_approximate,,unavailable_official_repository_has_no_native_result_or_configuration,False
Ablation,full Sharpe,1.62,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Ablation,without semantic description Sharpe,0.83,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Ablation,without news Sharpe,1.03,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Ablation,without price Sharpe,1.24,Sharpe,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Ablation,full MDD,6.76,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Gating,IC momentum lookback,20,days,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Gating,IC momentum selected factors,10,factors,configuration,exact,,unavailable_official_repository_has_no_native_result_or_configuration,False
Gating,Lasso CR,1.58,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Gating,IC Momentum CR,-6.33,pct,result,duplicate_table,,unavailable_official_repository_has_no_native_result_or_configuration,False
Sensitivity,holding-days lower example,3,days,configuration,range_endpoint,,unavailable_official_repository_has_no_native_result_or_configuration,False
Sensitivity,holding-days upper example,10,days,configuration,range_endpoint,,unavailable_official_repository_has_no_native_result_or_configuration,False
Sensitivity,TopN lower stated setting,5,stocks,configuration,range_endpoint,,unavailable_official_repository_has_no_native_result_or_configuration,False
Sensitivity,TopN upper stated setting,20,stocks,configuration,range_endpoint,,unavailable_official_repository_has_no_native_result_or_configuration,False
