section,project_or_paper,repository,code_url,link_type,source_ref_indices,public_github_text,http_status,notes
1. Highest-priority: LLM/agent factor mining and alpha discovery,Alpha-R1 — Alpha Screening with LLM Reasoning via Reinforcement Learning,FinStep-AI/Alpha-R1,https://github.com/FinStep-AI/Alpha-R1,implementation,17,FinStep-AI/Alpha-R1,200,derived from pasted table repo text; GitHub URL cited directly in pasted references
1. Highest-priority: LLM/agent factor mining and alpha discovery,AlphaAgent — LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,RndmVariableQ/AlphaAgent,https://github.com/RndmVariableQ/AlphaAgent,implementation,,RndmVariableQ/AlphaAgent,200,derived from pasted table repo text
1. Highest-priority: LLM/agent factor mining and alpha discovery,AlphaBench — Benchmarking Large Language Models in Formulaic Alpha Factor Mining,CityU-MLO/AlphaBench,https://github.com/CityU-MLO/AlphaBench,implementation,,CityU-MLO/AlphaBench,200,derived from pasted table repo text
1. Highest-priority: LLM/agent factor mining and alpha discovery,AlphaForge,bettyguo/awesome-llm-trading-agents,https://github.com/bettyguo/awesome-llm-trading-agents,supporting_github_source,22,DulyHao/AlphaForge,200,GitHub URL is cited by the row but does not match the repo named in the Public GitHub cell
1. Highest-priority: LLM/agent factor mining and alpha discovery,AlphaForge,DulyHao/AlphaForge,https://github.com/DulyHao/AlphaForge,implementation,,DulyHao/AlphaForge,200,derived from pasted table repo text
1. Highest-priority: LLM/agent factor mining and alpha discovery,AlphaGen,bettyguo/awesome-llm-trading-agents,https://github.com/bettyguo/awesome-llm-trading-agents,supporting_github_source,22,RL-MLDM/alphagen,200,GitHub URL is cited by the row but does not match the repo named in the Public GitHub cell
1. Highest-priority: LLM/agent factor mining and alpha discovery,AlphaGen,RL-MLDM/alphagen,https://github.com/RL-MLDM/alphagen,implementation,,RL-MLDM/alphagen,200,derived from pasted table repo text
1. Highest-priority: LLM/agent factor mining and alpha discovery,AlphaPROBE,gta0804/AlphaPROBE,https://github.com/gta0804/AlphaPROBE,implementation,,gta0804/AlphaPROBE,200,derived from pasted table repo text
1. Highest-priority: LLM/agent factor mining and alpha discovery,QuantaAlpha — LLM-Driven Self-Evolving Framework for Factor Mining,QuantaAlpha/QuantaAlpha,https://github.com/QuantaAlpha/QuantaAlpha,implementation,4,QuantaAlpha/QuantaAlpha,200,derived from pasted table repo text; GitHub URL cited directly in pasted references
1. Highest-priority: LLM/agent factor mining and alpha discovery,QuantEvolver — Reinforcement Fine-Tuning for LLM-Based Alpha Factor Discovery,QuantLLM/QuantEvolver,https://github.com/QuantLLM/QuantEvolver,implementation,,QuantLLM/QuantEvolver,200,derived from pasted table repo text
1. Highest-priority: LLM/agent factor mining and alpha discovery,R&D-Agent-Quant — Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,microsoft/RD-Agent,https://github.com/microsoft/RD-Agent,implementation,,microsoft/RD-Agent,200,derived from pasted table repo text
2. End-to-end LLM/agent trading systems with Sharpe/return claims,AlphaQuanter — End-to-End Tool-Orchestrated Agentic RL for Stock Trading,AlphaQuanter/AlphaQuanter,https://github.com/AlphaQuanter/AlphaQuanter,implementation,27,AlphaQuanter/AlphaQuanter,200,derived from pasted table repo text; GitHub URL cited directly in pasted references
2. End-to-end LLM/agent trading systems with Sharpe/return claims,ContestTrade — Multi-Agent Trading System Based on Internal Contest Mechanism,FinStep-AI/ContestTrade,https://github.com/FinStep-AI/ContestTrade,implementation,,FinStep-AI/ContestTrade,200,derived from pasted table repo text
2. End-to-end LLM/agent trading systems with Sharpe/return claims,CryptoTrade,Xtra-Computing/CryptoTrade,https://github.com/Xtra-Computing/CryptoTrade,implementation,41,Xtra-Computing/CryptoTrade,200,derived from pasted table repo text; GitHub URL cited directly in pasted references
2. End-to-end LLM/agent trading systems with Sharpe/return claims,FinCon — Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement,MXGao-A/FAgent,https://github.com/MXGao-A/FAgent,implementation_ambiguous,,"The-FinAI/FinCon listed, but full release delayed; also MXGao-A/FAgent unofficial/implementation repo",200,repo name appears in pasted table with caveat
2. End-to-end LLM/agent trading systems with Sharpe/return claims,FinCon — Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement,The-FinAI/FinCon,https://github.com/The-FinAI/FinCon,implementation_ambiguous,,"The-FinAI/FinCon listed, but full release delayed; also MXGao-A/FAgent unofficial/implementation repo",200,repo name appears in pasted table with caveat
2. End-to-end LLM/agent trading systems with Sharpe/return claims,FinMem — LLM Trading Agent with Layered Memory and Character Design,pipiku915/finmem-llm-stocktrading,https://github.com/pipiku915/finmem-llm-stocktrading,implementation,28,pipiku915/finmem-llm-stocktrading,200,derived from pasted table repo text; GitHub URL cited directly in pasted references
2. End-to-end LLM/agent trading systems with Sharpe/return claims,GuruAgents,yejining99/GuruAgents,https://github.com/yejining99/GuruAgents,implementation_ambiguous,,yejining99/GuruAgents listed in paper metadata,200,repo name appears in pasted table with caveat
2. End-to-end LLM/agent trading systems with Sharpe/return claims,QuantAgent — Price-Driven Multi-Agent LLMs for High-Frequency Trading,Y-Research-SBU/QuantAgent,https://github.com/Y-Research-SBU/QuantAgent,implementation,,Y-Research-SBU/QuantAgent,200,derived from pasted table repo text
2. End-to-end LLM/agent trading systems with Sharpe/return claims,TradingAgents — Multi-Agents LLM Financial Trading Framework,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,implementation,23,TauricResearch/TradingAgents,200,derived from pasted table repo text; GitHub URL cited directly in pasted references
3. Benchmarks and evaluation infrastructure worth using before trusting any Sharpe,AgenticTrading Lab,Open-Finance-Lab/AgenticTrading,https://github.com/Open-Finance-Lab/AgenticTrading,implementation,50,Open-Finance-Lab/AgenticTrading,200,derived from pasted table repo text; GitHub URL cited directly in pasted references
3. Benchmarks and evaluation infrastructure worth using before trusting any Sharpe,AI-Trader,HKUDS/AI-Trader,https://github.com/HKUDS/AI-Trader,implementation,49,HKUDS/AI-Trader,200,derived from pasted table repo text; GitHub URL cited directly in pasted references
