system_id|system_name|stratum|main_FT|primary_record|official_artifact|old_refs|lineage_dedup_notes|inclusion_exclusion_rationale
SYS-AGENTIC-AI-SCREENING|Agentic AI Screening|F|Y|https://arxiv.org/abs/2603.23300||—|New verified omission; distinct screening method.|IN: agentic alpha-screening method.
SYS-AGORA|Agora — AI Trading's Alpha Singularity|F|Y|https://arxiv.org/abs/2606.29194||—|Agora is the system; paper title is not a second lineage.|IN: agentic alpha-discovery method.
SYS-ALPHA-AGENT|AlphaAgent|F|Y|https://arxiv.org/abs/2502.16789|https://github.com/RndmVariableQ/AlphaAgent|3|Paper and official repository are one lineage; distinct from AlphaAgentEvo.|IN: LLM-driven formulaic alpha mining.
SYS-ALPHA-AGENT-EVO|AlphaAgentEvo|F|Y|https://openreview.net/forum?id=lNmZrawUMu||16|Successor-named method is methodologically distinct from AlphaAgent.|IN: self-evolving agentic-RL alpha mining.
SYS-ALPHA-CRAFTER|AlphaCrafter|F|Y|https://arxiv.org/abs/2605.05580||18|Single full-stack formula-mining lineage.|IN: mines and screens cross-sectional factors.
SYS-ALPHA-GPT|Alpha-GPT lineage|F|Y|https://arxiv.org/abs/2308.00016 ; https://aclanthology.org/2025.emnlp-demos.14/ ; https://arxiv.org/abs/2402.09746||11;12|v1 arXiv and EMNLP are one release; Alpha-GPT 2.0 is a successor release within the same lineage.|IN: human-in-the-loop formulaic alpha mining.
SYS-ALPHA-JUNGLE|Alpha-Jungle|F|Y|https://arxiv.org/abs/2505.11122||7|One MCTS-guided formula-mining lineage.|IN: LLM-guided formulaic alpha search.
SYS-ALPHA-LOGICS|AlphaLogics|F|Y|https://arxiv.org/abs/2603.20247||15|One market-logic-driven factor-generation lineage.|IN: agentic interpretable factor generation.
SYS-ALPHA-MEMO|AlphaMemo|F|Y|https://arxiv.org/abs/2606.20625|https://github.com/jarrettyu/AlphaMemo|—|Paper and official implementation are one lineage; data availability remains a fidelity field.|IN: memory-supported alpha discovery.
SYS-ALPHA-R1|Alpha-R1|F|Y|https://arxiv.org/abs/2512.23515|https://github.com/FinStep-AI/Alpha-R1|17|Paper and repository are one lineage; distinct from AlphaAgent systems.|IN: reasoning/RL alpha screening.
SYS-ALPHA-SCHEMA|AlphaSchema|F|Y|https://arxiv.org/abs/2607.26642||—|New verified omission.|IN: schema-based alpha discovery.
SYS-AUTOMATE-STRATEGY|Automate Strategy Finding with LLM in Quant Investment|F|Y|https://aclanthology.org/2025.findings-emnlp.1005/ ; https://arxiv.org/abs/2409.06289|https://github.com/kouzhizhuo/Automate-Strategy-Finding-with-LLM-in-Quant-investment|—|ACL and arXiv are publication manifestations of one system.|IN: automated LLM strategy/factor discovery.
SYS-CHAIN-OF-ALPHA|Chain-of-Alpha|F|Y|https://arxiv.org/abs/2508.06312||13|One chained formula-generation lineage.|IN: formulaic alpha generation and optimization.
SYS-COG-ALPHA|CogAlpha|F|Y|https://arxiv.org/abs/2511.18850||9|One code-evolution lineage.|IN: executable alpha evolution.
SYS-EFS|EFS|F|Y|https://arxiv.org/abs/2507.17211||2|One evolutionary factor-search lineage.|IN: LLM factor search with sparse portfolio construction.
SYS-EMPIRICAL-ASSET-PRICING-LLM|Empirical Asset Pricing with Large Language Model Agents|F|Y|https://arxiv.org/abs/2409.17266|https://github.com/chengjunyan1/AAPM|—|New verified omission; both official arXiv source versions directly link the author repository.|IN: LLM-agent asset-pricing/factor construction.
SYS-FACTOR-ENGINE|FactorEngine|F|Y|https://arxiv.org/abs/2603.16365||20|One program-level factor-discovery lineage.|IN: knowledge-infused executable factor discovery.
SYS-FACTOR-MAD|FactorMAD|F|Y|https://doi.org/10.1145/3768292.3770377||14|One multi-agent debate lineage.|IN: interpretable alpha-factor mining.
SYS-FACTOR-MINER|FactorMiner|F|Y|https://arxiv.org/abs/2602.14670||8|One skills-and-memory factor-mining lineage.|IN: self-evolving factor discovery.
SYS-FAMA|FAMA — Factor Mining Agent|F|Y|https://aclanthology.org/2024.findings-acl.233/||10|One neural-symbolic factor-mining lineage.|IN: LLM-based interpretable factor mining.
SYS-GPT-SIGNAL|GPT-Signal|F|Y|https://arxiv.org/abs/2410.18448|https://github.com/Yiningww/Thesis|—|Author-owned pre-publication source/data/output repository recovered; the paper-listed GPT-signal repository is deleted and its surviving 2024 capture is a one-file placeholder.|IN: LLM-generated investment signals.
SYS-HUBBLE|Hubble|F|Y|https://arxiv.org/abs/2604.09601||—|New verified omission.|IN: agentic alpha/factor discovery.
SYS-LLM-FACTOR|LLMFactor|F|Y|https://arxiv.org/abs/2406.10811||19|One prompt-based factor-extraction lineage.|IN: profitable/explainable factor extraction.
SYS-MAD-EVOLVE|MadEvolve|F|Y|https://arxiv.org/abs/2605.23007||—|New verified omission.|IN: multi-agent evolutionary alpha discovery.
SYS-QUANTA-ALPHA|QuantaAlpha|F|Y|https://arxiv.org/abs/2602.07085|https://github.com/QuantaAlpha/QuantaAlpha|4|Paper and repository are one lineage.|IN: LLM-driven self-evolving factor mining.
SYS-QUANT-EVOLVER|QuantEvolver|F|Y|https://arxiv.org/abs/2605.15412|https://github.com/QuantLLM/QuantEvolver|5|Paper and repository are one lineage.|IN: reinforcement-fine-tuned alpha-factor discovery.
SYS-RD-AGENT-QUANT|R&D-Agent-Quant|F|Y|https://aka.ms/RD-Agent-Tech-Report|https://github.com/microsoft/RD-Agent|6|Quant workflow is one application lineage within the official R&D-Agent artifact.|IN: agentic factor/model co-optimization.
SYS-TREEVO|TreEvo|F|Y|https://arxiv.org/abs/2508.16334||—|New verified omission.|IN: evolutionary alpha/factor discovery.
SYS-XALPHA|XALPHA|F|Y|https://arxiv.org/abs/2607.08332||—|XAlpha and XALPHA denote one system.|IN: formulaic alpha-discovery method.
SYS-ALPHA-AGENTS|AlphaAgents|T|Y|https://arxiv.org/abs/2508.11152||36|One equity-portfolio multi-agent lineage.|IN: produces portfolio decisions.
SYS-ALPHA-QUANTER|AlphaQuanter|T|Y|https://aclanthology.org/2026.findings-acl.456/|https://github.com/horizon-llm/AlphaQuanter|27|Old repository identity resolves to the official-paper repository under horizon-llm.|IN: sequential tool-augmented RL trading agent.
SYS-ATLAS|ATLAS|T|Y|https://arxiv.org/abs/2510.15949||—|New verified omission.|IN: sequential trading/portfolio agent.
SYS-BLIND-TRADE|BlindTrade|T|Y|https://arxiv.org/abs/2603.17692||—|New verified omission.|IN: sequential trading system.
SYS-CONTEST-TRADE|ContestTrade|T|Y|https://arxiv.org/abs/2508.00554|https://github.com/FinStep-AI/ContestTrade|24|Paper and official repository are one lineage.|IN: multi-agent sequential trading system.
SYS-CRYPTO-TRADE|CryptoTrade|T|Y|https://aclanthology.org/2024.emnlp-main.63/|https://github.com/Xtra-Computing/CryptoTrade|41|Paper and repository are one lineage; task incompatibility does not remove it from the broad denominator.|IN: reflective sequential cryptocurrency agent.
SYS-FACTFIN|FactFin|T|Y|https://arxiv.org/abs/2510.07920||—|Profit Mirage defines FactFin and FinLake-Bench as distinct systems.|IN: named sequential trading system.
SYS-FIN-AGENT|FinAgent|T|Y|https://arxiv.org/abs/2402.18485|https://github.com/DVampire/FinAgent|30|One multimodal trading-agent lineage; repository linked from the lead author's homepage.|IN: produces sequential trading actions.
SYS-FIN-ANALYST|Fin-Analyst at FinMMEval Task 3|T|Y|https://arxiv.org/abs/2607.12233||—|Participant is distinct from the benchmark and CLaC participant.|IN: eight-specialist LLM trading system.
SYS-FIN-CON|FinCon|T|Y|https://arxiv.org/abs/2407.06567|https://github.com/The-FinAI/FinCon|29|Paper and listed repository are one lineage; MXGao-A/FAgent is not separate.|IN: multi-agent portfolio/trading method.
SYS-FIN-MEM|FinMem|T|Y|https://arxiv.org/abs/2311.13743|https://github.com/pipiku915/finmem-llm-stocktrading|28|Paper and official implementation are one lineage.|IN: memory-augmented sequential trading agent.
SYS-FIN-POS|FinPos|T|Y|https://arxiv.org/abs/2510.27251||—|New verified omission.|IN: sequential position/trading system.
SYS-FIN-RL-DEEPSEEK|FinRL-DeepSeek|T|Y|https://arxiv.org/abs/2502.07393|https://github.com/benstaf/FinRL_DeepSeek|—|Paper and linked implementation are one lineage.|IN: LLM-assisted RL trading system.
SYS-FIN-RS|FinRS|T|Y|https://arxiv.org/abs/2511.12599||—|New verified omission.|IN: sequential financial decision system.
SYS-FIN-VISION|FinVision|T|Y|https://arxiv.org/abs/2411.08899||40|One multi-agent stock-prediction/trading lineage.|IN: downstream sequential portfolio/trading decisions.
SYS-FLAG-TRADER|FLAG-Trader|T|Y|https://aclanthology.org/2025.findings-acl.716/||31|One LLM-policy/RL lineage.|IN: sequential trading policy.
