paper_table,item,metric,value_role,paper_value,native_reproduced_value,absolute_difference,author_output_value,author_output_correspondence,independently_regenerated,status,paper_result_credit
Table 1 Main CSI300 results,Linear,IC,direct,0.0155,,,0.0155,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Linear,ICIR,direct,0.1174,,,0.1174,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Linear,Rank_IC,direct,0.0368,,,0.0368,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Linear,Rank_ICIR,direct,0.2834,,,0.2834,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Linear,IR,direct,-0.3078,,,-0.3078,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Linear,ARR_pct,direct,-2.67,,,-2.67,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Linear,MDD_pct,direct,18.97,,,18.97,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,XGBoost,IC,direct,0.0175,,,0.0175,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,XGBoost,ICIR,direct,0.1336,,,0.1336,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,XGBoost,Rank_IC,direct,0.042,,,0.042,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,XGBoost,Rank_ICIR,direct,0.3417,,,0.3417,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,XGBoost,IR,direct,-0.528,,,-0.528,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,XGBoost,ARR_pct,direct,-4.24,,,-4.24,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,XGBoost,MDD_pct,direct,28.5,,,28.5,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,CatBoost,IC,direct,0.0162,,,0.0162,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,CatBoost,ICIR,direct,0.1203,,,0.1203,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,CatBoost,Rank_IC,direct,0.0405,,,0.0405,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,CatBoost,Rank_ICIR,direct,0.3289,,,0.3289,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,CatBoost,IR,direct,-0.2807,,,-0.2807,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,CatBoost,ARR_pct,direct,-2.3,,,-2.3,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,CatBoost,MDD_pct,direct,21.35,,,21.35,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LightGBM,IC,direct,0.0247,,,0.0247,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
