artifact,url_or_commit,availability,system_credit,result_credit,note
arXiv v1/v2 paper and TeX,https://arxiv.org/abs/2501.00826,complete manuscript source,False,False,Document/specification evidence.
arXiv v3 paper and TeX,https://arxiv.org/abs/2501.00826,complete manuscript source with three compiled prompts,False,False,Different experiment under the same identifier.
v1/v2 author repository,https://github.com/lyc0603/multi-agent,reachable MIT Python repository with complete 164-commit history,True,False,Author identity and paper title match.
pre-submission author commit,962b83d7ca8908e675fc22c6d16ce24a0ec3e52f,2330 files; 147197324 bytes,True,False,"Authentic v1-style source, figures, runner, and tests; constants/data/results are omitted."
current v1/v2 repository commit,2326185cc2d1eff02724cfeb88116ebb13f904e7,6547 tracked paths; complete history has 7997 reachable objects,True,False,Restores constants and extends figures; complete history also recovers 962 deleted fine-tuning-format message records.
paper-listed anonymous v3 artifact,https://anonymous.4open.science/r/cryptoMAS-FCB2/,"repository landing endpoint requires connection, but its public file API serves a hash-pinned README",True,False,The README is byte-identical to the first-author cryptoMAS repository README and directs users to that GitHub repository.
v3 author repository,https://github.com/lyc0603/cryptoMAS,reachable public MIT repository; complete 20-commit history; 42 tracked files,True,False,"Implements the three v3 architectures and author outputs, but omits every environ.data module, frozen data, records, and checkpoints."
v3 author repository head,318e0fe905fed8b7f544322c3db1dfed6784d178,209 reachable objects; 50 unique historical paths; no tags,True,False,"Head predates v3 submission and is pinned across source, table, figure, history, and component audits."
historical README repository target,https://github.com/dlt-science/multi-agent,HTTP 404,False,False,"Bounded current access result, not proof no private/deleted artifact existed."
Fama-French factors,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,official monthly factor archive pinned,False,False,"2025 monthly RF is 0.30--0.38%, conflicting with table-implied approximately-zero RF."
