check,status,evidence
Table 1 native cell reproduction,partial_two_cells_only,2/70 cells; both are benchmark MDD
Table 1 complete rows,not_reproduced,0/7 rows match all ten metrics
native notebook versus shipped workbook,exact_source_artifact_reproduction,"all seven paths match to <1e-12, but are not the paper paths"
paper horizon versus source workbook,contradiction,paper says Q4 2023-Q2 2025; shipped agent paths run 2024-01-01 to 2025-08-12
paper Figure 1 visual horizon,contradiction,paper image extends beyond the stated Q2 2025 endpoint
Figure 2 first visible Buffett bar,contradiction,"paper-visible ticker set differs; paper-only=['AVGO'], source-only=['CDNS', 'COST', 'IDXX', 'ISRG', 'KLAC', 'LULU', 'PEP', 'REGN', 'ROST', 'SNPS', 'TSLA', 'VRTX']"
raw portfolio weight sums,contradiction,2/35 sum to 100
raw duplicate tickers,contradiction,9/35 contain duplicates
strict prompt output,contradiction,0/35 satisfy the full contract
expected tool calls,supported_component,35/35 archived runs call every declared tool once
runtime model,supported_component,all 35 logs identify gpt-4o-2024-08-06
runtime model fingerprint,determinism_not_established,three system fingerprints appear across the 35 archived runs
transaction cost,contradiction,transaction_cost=0.0001 is declared but unused in calculate_agent_returns
agent/benchmark frequency,contradiction,paper-window agents have 540 calendar observations versus 374 benchmark trading observations
benchmark instruments,contradiction,paper labels indices; source downloads QQQ and SPY
point-in-time accounting,not_supported,quarter-end portfolios begin the next day without filing availability timestamps
Buffett scoring inputs,contradiction,seven prompt inputs are not returned by any declared Buffett tool
valuation units,implementation_defect,"archived tool logs report million-scale P/E and P/B values (for example MSFT P/E 33,479,836)"
price column,implementation_difference,native backtest selects CLOSE_ before DIV_ADJ_CLOSE
released README,stale_nonoperational,documents Carlisle/Driehaus and nonexistent config/backtest modules instead of the paper system
source/result chronology,qualified_provenance,code was present before Aug-21 runs; artifacts were first committed Aug 31; notebook code hash is invariant
