component,controlled_output,deterministic_control_passed,paper_derived_not_author_code,author_native_pipeline_executed,published_result_regenerated,paper_result_credit,boundary
future_vwap_return,0.10000000000000009,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
alternating_proposer,"[0, 1, 0, 1]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
seed_source_branch,"[""existing_factor"", ""generated_factor""]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
strict_factor_acceptance,"[true, false]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
equal_weight_top_k,"[0.0, 0.5, 0.5]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
ordinary_noncomment_line_count,2,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
agent_initialization,"the initial factor library, example count k, sampling distribution, perspective prompt, factor requirements, and model request are absent",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
factor_code_validation,"Table 1 names error categories and suggestions but does not provide the validator, thresholds, timeout, dimension test, stationarity test, or parser",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
factor_code_correction,"the correction prompt, model request, maximum K, retry/error history serialization, and terminal failure disposition are absent",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
prediction_model_training,"model hyperparameters, optimization, rolling or static fit schedule, seeds, missing-value policy, and exact train/validation slices are absent",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
overlapping_topk_portfolios,"daily TopK selection with a ten-trading-day hold does not specify whether overlapping vintages are averaged, replaced, or maintained as sleeves",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
investment_metrics,"the annualization factor, excess-return alignment, IR denominator, drawdown path convention, cost timing, and zero-denominator behavior are absent",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
llm_request,"only the GPT-4o 2024-08-06 name is stated; prompts, API parameters, seed, responses, tool contracts, parser, and retry policy are not released",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a FactorMAD result"
