table,row_index,method,quantitative_column_index,metric,printed_cell,unit_definition,source_document_recovered,raw_result_record_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
Table 2,1,GP,1,CSI300 AR,0.004,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,1,GP,2,CSI300 IR,0.175,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,1,GP,3,CSI300 RoMaD,0.047,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,1,GP,4,CSI500 AR,-0.010,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,1,GP,5,CSI500 IR,-0.449,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,1,GP,6,CSI500 RoMaD,-0.118,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,2,DSO,1,CSI300 AR,-0.011,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,2,DSO,2,CSI300 IR,-0.579,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,2,DSO,3,CSI300 RoMaD,-0.123,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,2,DSO,4,CSI500 AR,0.070,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,2,DSO,5,CSI500 IR,2.727,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,2,DSO,6,CSI500 RoMaD,1.860,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,3,AlphaGen,1,CSI300 AR,0.017,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,3,AlphaGen,2,CSI300 IR,0.872,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,3,AlphaGen,3,CSI300 RoMaD,0.389,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,3,AlphaGen,4,CSI500 AR,0.052,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,3,AlphaGen,5,CSI500 IR,2.109,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,3,AlphaGen,6,CSI500 RoMaD,0.790,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,4,CoE,1,CSI300 AR,0.046,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,4,CoE,2,CSI300 IR,2.165,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,4,CoE,3,CSI300 RoMaD,1.116,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,4,CoE,4,CSI500 AR,0.047,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,4,CoE,5,CSI500 IR,1.807,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,4,CoE,6,CSI500 RoMaD,0.717,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,5,FactorMAD,1,CSI300 AR,0.063,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,5,FactorMAD,2,CSI300 IR,2.984,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,5,FactorMAD,3,CSI300 RoMaD,1.350,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,5,FactorMAD,4,CSI500 AR,0.086,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,5,FactorMAD,5,CSI500 IR,3.411,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
Table 2,5,FactorMAD,6,CSI500 RoMaD,1.341,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no attributable implementation, exact A-share rows/provider, factor library, prompts/responses, complete model requests, seeds, generated factor programs, baseline configurations, trained models, predictions, portfolios, returns, raw arrays, or result generator"
