mechanism,paper_specification,paper_era_source_path,required_source_tokens_found,source_evidence,status,reported_run_configuration_or_trace_released,paper_mechanism_execution_credit,paper_result_credit
research_development_separation,separate research proposal and development execution phases,rdagent/scenarios/data_science/loop.py,True,implementation present,component_implementation_present_unexecuted,False,False,False
dynamic_time_planning,time-aware draft/model-architecture planning,rdagent/scenarios/data_science/proposal/exp_gen/planner/__init__.py,True,implementation present but enable_planner defaults false,component_implementation_present_unexecuted,False,False,False
research_DAG,DAG-backed experiment trace with parent selections,rdagent/scenarios/data_science/proposal/exp_gen/base.py,True,implementation present,component_implementation_present_unexecuted,False,False,False
parallel_multi_trace,parallel trace exploration,rdagent/scenarios/data_science/proposal/exp_gen/router/__init__.py,True,implementation present but max_trace_num defaults one,component_implementation_present_unexecuted,False,False,False
interaction_kernel,cosine similarity plus tanh score difference and exponential path decay,rdagent/scenarios/data_science/proposal/exp_gen/proposal.py,True,paper equation is implemented with alpha=beta=1 and gamma=ln(2)/30,component_implementation_present_unexecuted,False,False,False
probabilistic_history_sampling,softmax/categorical historical-hypothesis sampling,rdagent/scenarios/data_science/proposal/exp_gen/proposal.py,True,implementation present,component_implementation_present_unexecuted,False,False,False
adaptive_hypothesis_selection,LLM select/modify/generate from candidates,rdagent/scenarios/data_science/proposal/exp_gen/proposal.py,True,implementation present but llm_select_hypothesis defaults false,component_implementation_present_unexecuted,False,False,False
round_robin_scheduler,round-robin trace scheduler,rdagent/scenarios/data_science/proposal/exp_gen/trace_scheduler.py,True,default scheduler exists but is not the paper's probabilistic interaction kernel,component_implementation_present_unexecuted,False,False,False
probabilistic_scheduler,potential-weighted leaf scheduler,rdagent/scenarios/data_science/proposal/exp_gen/trace_scheduler.py,True,implementation present but not the default scheduler,component_implementation_present_unexecuted,False,False,False
collaborative_memory,cross-trace diversity and idea context,rdagent/scenarios/data_science/proposal/exp_gen/idea_pool.py,True,implementation present; paper run state absent,component_implementation_present_unexecuted,False,False,False
scientific_hypothesis_pipeline,problem identification and hypothesis-driven proposal,rdagent/scenarios/data_science/proposal/exp_gen/prompts_v2.yaml,True,prompt implementation present; exact run prompts/responses absent,component_implementation_present_unexecuted,False,False,False
hypothesis_critique_rewrite,critique and rewrite stage,rdagent/scenarios/data_science/proposal/exp_gen/proposal.py,True,implementation present but defaults false,component_implementation_present_unexecuted,False,False,False
iterative_coding_workflow,LLM coder with iterative debugging,rdagent/components/coder/CoSTEER/__init__.py,True,generic CoSTEER implementation is used by the data-science runner,component_implementation_present_unexecuted,False,False,False
sampled_debug_data,debugging on sampled data before full execution,rdagent/scenarios/data_science/scen/__init__.py,True,implementation present and source default enabled,component_implementation_present_unexecuted,False,False,False
execution_and_score_validation,execute generated workflow and validate scores.csv,rdagent/scenarios/data_science/dev/runner/eval.py,True,implementation present,component_implementation_present_unexecuted,False,False,False
evaluation_alignment_feedback,LLM checks evaluation alignment and replacement decision,rdagent/scenarios/data_science/dev/feedback.py,True,implementation present,component_implementation_present_unexecuted,False,False,False
best_valid_selector,rank valid candidates by validation score,rdagent/scenarios/data_science/proposal/exp_gen/select/submit.py,True,implementation present,component_implementation_present_unexecuted,False,False,False
holdout_revalidation,candidate re-evaluation on a common synthetic holdout,rdagent/scenarios/data_science/proposal/exp_gen/select/submit.py,True,"implementation present but default is 80/20, not paper's 90/10",component_implementation_present_unexecuted,False,False,False
submission_validation,MLE-Bench submission-format/test evaluation,rdagent/scenarios/data_science/dev/runner/eval.py,True,implementation present,component_implementation_present_unexecuted,False,False,False
optional_RAG,optional external knowledge base,rdagent/app/data_science/conf.py,True,implementation hook present and defaults false,component_implementation_present_unexecuted,False,False,False
MLE_Bench_environment,MLE-Bench evaluator/runtime image,rdagent/scenarios/kaggle/docker/mle_bench_docker/Dockerfile,True,implementation present but upstream clone is unpinned,component_implementation_present_unexecuted,False,False,False
