evidence_commit,commit_date,remote_refs_containing_commit,historical_path,blob_sha256,bytes,artifact_role,scope_summary,attributable_to_published_75_competition_three_seed_run,contains_paper_run_config_seed_and_model_lineage,paper_result_credit
bf8bdfc7db4b6069542a59eb45a7d95c85939fe3,2025-11-20T09:15:54Z,origin/kaggle-version,job_log.txt,f885f946ea0db041341ea83ce44ae21fc6140f1cac0c69d76f5199587cb1019f,117,post_v2_single_competition_command_without_output,one cafa-6 12-hour invocation and no result payload: dotenv run -- python rdagent/app/data_science/loop.py --competition cafa-6-protein-function-prediction --timeout 12h,False,False,False
2564d0ec2c0028c2a2faebab98c4112568443af5,2025-03-04T07:21:41Z,origin/researcher;origin/researcher-updated;origin/researcher-updated2,output_dir/aggregated_results.csv,7f18abd40f91b19d495293b103ff54df5c1801ccb413181acec7cdb840c389c0,1545,pre_v1_three_competition_researcher_diagnostic,"24 rows across three developmental competitions: aerial-cactus-identification, dog-breed-identification, dogs-vs-cats-redux-kernels-edition",False,False,False
2564d0ec2c0028c2a2faebab98c4112568443af5,2025-03-04T07:21:41Z,origin/researcher;origin/researcher-updated;origin/researcher-updated2,output_dir/results.csv,05572b72ecb03bf6d50dd03d49fc9b8e8e7c34caf62d91458048bc034e7d9e44,305616,pre_v1_three_competition_researcher_diagnostic,"175 rows across three developmental competitions: aerial-cactus-identification, dog-breed-identification, dogs-vs-cats-redux-kernels-edition",False,False,False
2564d0ec2c0028c2a2faebab98c4112568443af5,2025-03-04T07:21:41Z,origin/researcher;origin/researcher-updated;origin/researcher-updated2,output_dir/results_filtered.csv,b436e5b9cd01d6315b48e450ce4b92b431e447c7e3458e0126dd8fb0da2734ef,226216,pre_v1_three_competition_researcher_diagnostic,"149 rows across three developmental competitions: aerial-cactus-identification, dog-breed-identification, dogs-vs-cats-redux-kernels-edition",False,False,False
b44bef5ec1546a26acca6ce0c84656d585417df0,2024-11-15T15:46:21Z,origin/automated-evaluation,rdagent/scenarios/kaggle/automated_evaluation/results/20241107_051618/experiment_info.json,81fc89d77d184730127de6ee435dbd20c3eede157691e59a0c8b9a4fa6863241,151,pre_v1_automated_evaluation_metadata,malformed pre-paper sf-crime metadata ending with an empty results key; not an executable result artifact,False,False,False
f455327dce876ef1ad2f36ce118a3ade07f355b0,2026-02-11T07:07:37Z,origin/webshop,rdagent/scenarios/rl/autorl_bench/results.csv,554b323afaa276d093d28c0aa19a17751909ec267aaeba9092275a9a00b9a048,564,post_v2_unrelated_RL_benchmark,2 post-paper AutoRL rows outside the MLE-Bench paper scope,False,False,False
1226e3c46980d1eb072dfd1f0f4ca9bad8c854b4,2025-08-06T04:18:48Z,origin/minrui/analyze_runner,results/diverse-mammoth_results.md,45bbbeb9075ee5b8fdaa3f1d3f564fa4ef5f61e38eba20f5a3acfa609ab46f9f,3112,between_v1_v2_39_competition_runner_ratio_diagnostic,39 competition rows; 38 populated Base/Prev/SOTA ratio rows; not the paper's 75-competition medal outputs,False,False,False
1226e3c46980d1eb072dfd1f0f4ca9bad8c854b4,2025-08-06T04:18:48Z,origin/minrui/analyze_runner,results/liberal-swan_results.md,8cb731639539adba424aa347d04d7368e291190ce2f8b25cb93e3e4a2e2dfd37,3045,between_v1_v2_39_competition_runner_ratio_diagnostic,39 competition rows; 36 populated Base/Prev/SOTA ratio rows; not the paper's 75-competition medal outputs,False,False,False
1226e3c46980d1eb072dfd1f0f4ca9bad8c854b4,2025-08-06T04:18:48Z,origin/minrui/analyze_runner,results/moved-coral_results.md,ba877fdad5f522142ef2e3f6fc9b47e243f1767b5adadc8795412e38c04c8de0,2210,between_v1_v2_39_competition_runner_ratio_diagnostic,39 competition rows; 0 populated Base/Prev/SOTA ratio rows; not the paper's 75-competition medal outputs,False,False,False
1226e3c46980d1eb072dfd1f0f4ca9bad8c854b4,2025-08-06T04:18:48Z,origin/minrui/analyze_runner,results/ready-haddock_results.md,71f96e62168128702e1f8eca2db7d05abd5114e17225bcaf298d7e25dc017887,2937,between_v1_v2_39_competition_runner_ratio_diagnostic,39 competition rows; 31 populated Base/Prev/SOTA ratio rows; not the paper's 75-competition medal outputs,False,False,False
1226e3c46980d1eb072dfd1f0f4ca9bad8c854b4,2025-08-06T04:18:48Z,origin/minrui/analyze_runner,results/stable-racer_results.md,d9e7528fa63ec2ef7d280ba5fb8de747d3df0013c1c3b36dcecd82ed2279db0a,3045,between_v1_v2_39_competition_runner_ratio_diagnostic,39 competition rows; 36 populated Base/Prev/SOTA ratio rows; not the paper's 75-competition medal outputs,False,False,False
