result_id,figure,source_svg,model,statistic,paper_vector_value,source_replay_value,replay_minus_paper,match_tolerance_1e-4,llm_regenerated,credit
BOX-001,all_3m,2016_2020_3M_step2_allsector.svg,PVS,q1,0.05259329244179789,0.052593292318768275,-1.2302961427401726e-10,yes,no,author_data_deterministic_replay
BOX-002,all_3m,2016_2020_3M_step2_allsector.svg,PVS,med,0.12682069458445722,0.12682069421718123,-3.67275987400717e-10,yes,no,author_data_deterministic_replay
BOX-003,all_3m,2016_2020_3M_step2_allsector.svg,PVS,q3,0.19941887009161968,0.19941886638951437,-3.7021053167496376e-09,yes,no,author_data_deterministic_replay
BOX-004,all_3m,2016_2020_3M_step2_allsector.svg,PVS,whislo,-0.03426719551498114,-0.03426719463004946,8.849316834869114e-10,yes,no,author_data_deterministic_replay
BOX-005,all_3m,2016_2020_3M_step2_allsector.svg,PVS,whishi,0.4025444584034026,0.40254445227113467,-6.132267915681666e-09,yes,no,author_data_deterministic_replay
BOX-006,all_3m,2016_2020_3M_step2_allsector.svg,RAPS,q1,0.056968600242460976,0.056968599873265496,-3.6919547974356703e-10,yes,no,author_data_deterministic_replay
BOX-007,all_3m,2016_2020_3M_step2_allsector.svg,RAPS,med,0.1047258888775438,0.10472588810867317,-7.688706338271345e-10,yes,no,author_data_deterministic_replay
BOX-008,all_3m,2016_2020_3M_step2_allsector.svg,RAPS,q3,0.196194537352686,0.19619453573889825,-1.6137877423272329e-09,yes,no,author_data_deterministic_replay
BOX-009,all_3m,2016_2020_3M_step2_allsector.svg,RAPS,whislo,-0.017693169067676373,-0.017693167521720232,1.545956140880378e-09,yes,no,author_data_deterministic_replay
BOX-010,all_3m,2016_2020_3M_step2_allsector.svg,RAPS,whishi,0.30895219548959574,0.30895219030450993,-5.185085805159417e-09,yes,no,author_data_deterministic_replay
BOX-011,all_3m,2016_2020_3M_step2_allsector.svg,EVC,q1,0.007369631011526767,-0.012630368705656647,-0.019999999717183414,no,no,untraceable_published_vector_translation_no_credit
BOX-012,all_3m,2016_2020_3M_step2_allsector.svg,EVC,med,0.06955245374598706,0.04955245441793088,-0.019999999328056184,no,no,untraceable_published_vector_translation_no_credit
BOX-013,all_3m,2016_2020_3M_step2_allsector.svg,EVC,q3,0.09666384641811704,0.0766638462934221,-0.02000000012469494,no,no,untraceable_published_vector_translation_no_credit
BOX-014,all_3m,2016_2020_3M_step2_allsector.svg,EVC,whislo,-0.03286551205337518,-0.05286551067224843,-0.01999999861887325,no,no,untraceable_published_vector_translation_no_credit
BOX-015,all_3m,2016_2020_3M_step2_allsector.svg,EVC,whishi,0.22828532536187218,0.20828532185546944,-0.02000000350640274,no,no,untraceable_published_vector_translation_no_credit
BOX-016,all_3m,2016_2020_3M_step2_allsector.svg,VEC,q1,0.001382629578085326,0.0013826300980087913,5.199234653918694e-10,yes,no,author_data_deterministic_replay
BOX-017,all_3m,2016_2020_3M_step2_allsector.svg,VEC,med,0.06560226372050548,0.06560226374837458,2.7869095919896836e-11,yes,no,author_data_deterministic_replay
BOX-018,all_3m,2016_2020_3M_step2_allsector.svg,VEC,q3,0.14368251274781313,0.1436825106862327,-2.06158043414284e-09,yes,no,author_data_deterministic_replay
BOX-019,all_3m,2016_2020_3M_step2_allsector.svg,VEC,whislo,-0.02855442874735492,-0.02855442755569748,1.191657439392202e-09,yes,no,author_data_deterministic_replay
