path,bytes,sha256,role,compile_status,contains_redacted_credential_pattern,paper_result_input,paper_result_output
Code/.DS_Store,8196,ee096e8c669cb188859bad54580e141a49b0bb171dbdccd3a229e038bc034373,other,not_python,no,no,no
Code/.idea/.gitignore,47,a9e54fc4f08bc97d82c04bd86ff37d3af84ba9ef4ad87fcfcb438dab622e8aaa,other,not_python,no,no,no
Code/.idea/Code.iml,333,8f3cc71369aea39f7e1230f1e5f9522b754571a45adf84a944b8df4da5e6a07e,other,not_python,no,no,no
Code/.idea/inspectionProfiles/Project_Default.xml,9721,3befad59afe9f0a7bc6e149ded324e2fead6fc3d84f6df1ed1aaf8b858c3d752,other,not_python,no,no,no
Code/.idea/inspectionProfiles/profiles_settings.xml,174,6172c5997eeb3cd19c9ca2b5b97d6e2983cdd1fa60b2460d7bbb74055edcaa46,other,not_python,no,no,no
Code/.idea/misc.xml,201,1fdb57c4e3c9a6b4c097c146adf30b70c7d0dab07b24ffc1b31160974f915a09,other,not_python,no,no,no
Code/.idea/modules.xml,260,d9b055ff9f1b6628a8c9f728a77b9152049232bb01f04bbd6e9339c0f80de22b,other,not_python,no,no,no
Code/.idea/vcs.xml,183,269064f5ba7307dcd31a03b5c690698b3442c0f0024c1358361542f49f5509ae,other,not_python,no,no,no
Code/Data/.DS_Store,12292,29a7325a7d0b52d361de992cd8af90f0f8bded2743b6df4f276a287673c5b820,other,not_python,no,no,no
Code/Data/.idea/.gitignore,47,a9e54fc4f08bc97d82c04bd86ff37d3af84ba9ef4ad87fcfcb438dab622e8aaa,other,not_python,no,no,no
Code/Data/.idea/Data.iml,284,c81735b4bf0304f3c9a8c3d6dfd82d231a627b049c64aabb4a1d7d25a201cc3d,other,not_python,no,no,no
Code/Data/.idea/inspectionProfiles/Project_Default.xml,9721,3befad59afe9f0a7bc6e149ded324e2fead6fc3d84f6df1ed1aaf8b858c3d752,other,not_python,no,no,no
Code/Data/.idea/inspectionProfiles/profiles_settings.xml,174,6172c5997eeb3cd19c9ca2b5b97d6e2983cdd1fa60b2460d7bbb74055edcaa46,other,not_python,no,no,no
