issue_id,location,paper_statement_a,paper_statement_b_or_missing_detail,audit_recomputation,assessment,severity,replication_effect
FAMA-INT-001,Section 4.1 vs Appendix B,Initial factor set contains 38 factors,Appendix B lists 71 distinct Alpha101 identifiers,71,direct_conflict,blocking,prevents_exact_native_reconstruction
FAMA-INT-002,Abstract vs Table 1/Section 4.4,RankICIR gain is 0.105,0.485 - 0.379 and Section 4.4 give 0.106,0.106,direct_conflict,major,requires_explicit_interpretation
FAMA-INT-003,Equation 7,"r(fi,fj) is a correlation",Printed denominator is sum of squared products without the Pearson square root,not_a_correlation_coefficient,equation_conflict,blocking,prevents_exact_native_reconstruction
FAMA-INT-004,Equation 1,RankIC is a cross-sectional rank correlation,"The displayed average additionally sums a per-stock j term after Corr(order_f, order_rj)",cross_section_dimension_unresolved,notation_conflict,blocking,prevents_exact_native_reconstruction
FAMA-INT-005,Sections 2.3 and 4.1,m denotes total mining iterations,m is reassigned as the number of clusters and set to 7,overloaded_experiment_control,symbol_conflict,major,requires_explicit_interpretation
FAMA-INT-006,Sections 4.1--4.2,2020-06-01--2021-01-01 is the training and validation subset and 10% of training,"The declared validation set starts 2020-01-01, so the window is not a subset of the declared 2015--2020 training set",split_roles_unresolved,direct_conflict,blocking,prevents_exact_native_reconstruction
FAMA-INT-007,Algorithm 1 vs method narrative,Only a factor with gamma above every factor in its chain is incorporated,Line 13 adds every generated f-prime to Fi outside the improvement conditional,acceptance_filter_not_applied_to_factor_set,algorithm_conflict,blocking,prevents_exact_native_reconstruction
FAMA-INT-008,Table 2/Equation 20,SR is a Sharpe ratio,"Table 2 formats every SR as a percentage, including FAMA 667.2%",ratio_scale_ambiguous,unit_conflict,blocking,prevents_exact_native_reconstruction
FAMA-INT-009,Section 4.6,AR increases by 6.6%,The table difference is 6.6 percentage points; relative increase over 31.8% is 20.75%,6.6pp_or_20.75_percent,unit_conflict,major,requires_explicit_interpretation
FAMA-INT-010,Section 4.6,SR improves by 261.1%,The difference from the best prior table SR is 261.1 percentage points; relative increase is 64.29%,261.1pp_or_64.29_percent,unit_conflict,major,requires_explicit_interpretation
FAMA-INT-011,Section 4.6,Top-20% stocks are bought and sold next day,"No long/short meaning, within-factor weights, execution price, or capital normalization is stated",portfolio_rule_incomplete,underspecified,blocking,prevents_exact_native_reconstruction
FAMA-INT-012,Appendix D vs Figure 2,Appendix D is the full prompt example,The required function_definition remains a placeholder and Figure 2 shows a different abbreviated instruction,runtime_prompt_not_reconstructable,underspecified,blocking,prevents_exact_native_reconstruction
