artifact,sha256,bytes,committed_copy
arxiv_abs_current.html,96d7717cf1effac37ec81bccc530b14e331ad148aecbc468661e0834969fdee0,41353,False
arxiv_api.xml,09633b76d0cbbaa5712790fbae92296ddf3f5247068e0c64e2263da2dac84287,2821,False
ar5iv.html,aa7d79e1ab37a614ffd75d67b81cb514cf951ed0699004859cb1f160ef55776b,222696,False
arxiv_vanity.html,aa7d79e1ab37a614ffd75d67b81cb514cf951ed0699004859cb1f160ef55776b,222696,False
assets/framework.png,363ca01b26ce26dd5ce1f7052124a9b59777457957466b591e599381db001a4c,136664,False
assets/return.svg,8659a3591baa411728500511c887008bb2ca00cafb955d988e67c440957fbc75,125180,False
assets/excess.svg,1ca4752a39368c40426db3c765a3729017744ee0873f16b383915ab49e3b0485,104842,False
assets/prompt_gen.svg,68ff8bf67897f8e380ad0f215c90ec770bda8dcba27860bf05bbb1bd1f5a0ef5,282524,False
assets/prompt_opt.svg,197c7d8abeaa48491646dc1c9128dc22986e005399a3aa80eea0dc80e2b573ad,349017,False
db2f9e02c7cc85af058fea03c2adf4e7b8458928_index.html,1c21a65382e5ee8641c4a9d20c82ae8586057c59e94b0620763b25fe25bb7895,34843,False
cbcde61e6ef9b9b33aa0bd781b6a176a22775383_index.html,66ebe30d819ceaf39c428d25aae0e0720f14153eda0c979e0b8f2a6e2531efe1,35295,False
07afcaa24680109501937fe5e0e7efed7410fb36_source__bibs__coa.bib.txt,83342cfa8644d35e13178e92043ec4e85db048dc86be3af926377b0fff1d1a2a,304,False
author_repos.json,46fb4ebf157052da681aaafb755da0f2ce2d613891a13f1e27752cf95d5b2b73,95650,False
github_repo_search_1.json,b9e92063099e6b573c363df7dd084a07dbe959569600f9c6f5398a6cd0dc84f0,135489,False
github_repo_search_2.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,55,False
github_repo_search_3.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,55,False
github_repo_search_4.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,55,False
github_code_search_5.json,3631096f6f4efd623ce2543bc4e040d7764b5458b961a8c186c16c1a926bc59d,350932,False
github_code_search_6.json,f6775859a7dc730803204ea0f477ac3b4cfc8e1e5c68bf4cead7894b7dbe87d8,508438,False
github_code_search_7.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,55,False
