left_table,right_table,entity,market,metric,left_value,right_value,absolute_difference,status
2,5,AlphaMemo (residual),CSI500,Sharpe,0.3511,0.3511,0.0,paper_internal_identity_match_not_independent_reproduction
2,5,AlphaMemo (residual),S&P500,IC,0.041,0.041,0.0,paper_internal_identity_match_not_independent_reproduction
2,5,AlphaMemo (residual),S&P500,ICIR,0.3434,0.3434,0.0,paper_internal_identity_match_not_independent_reproduction
2,5,AlphaMemo (residual),S&P500,RankIC,0.0228,0.0228,0.0,paper_internal_identity_match_not_independent_reproduction
2,5,AlphaMemo (residual),S&P500,RankICIR,0.1984,0.1984,0.0,paper_internal_identity_match_not_independent_reproduction
2,5,AlphaMemo (residual),S&P500,AR_pct,23.65,23.65,0.0,paper_internal_identity_match_not_independent_reproduction
2,5,AlphaMemo (residual),S&P500,MDD_pct,-23.62,-23.62,0.0,paper_internal_identity_match_not_independent_reproduction
2,5,AlphaMemo (residual),S&P500,Sharpe,1.0672,1.0672,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,Search-ledger only,CSI500,ICIR,0.2313,0.2313,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,Search-ledger only,CSI500,RankICIR,0.3707,0.3707,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,Search-ledger only,CSI500,AR_pct,7.0,7.0,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,Search-ledger only,CSI500,Sharpe,0.3536,0.3536,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,Search-ledger only,S&P500,ICIR,0.1414,0.1414,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,Search-ledger only,S&P500,RankICIR,0.0044,0.0044,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,Search-ledger only,S&P500,AR_pct,13.8,13.8,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,Search-ledger only,S&P500,Sharpe,0.6282,0.6282,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (balanced),CSI500,ICIR,0.3462,0.3462,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (balanced),CSI500,RankICIR,0.4597,0.4597,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (balanced),CSI500,AR_pct,11.63,11.63,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (balanced),CSI500,Sharpe,0.6109,0.6109,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (balanced),S&P500,ICIR,0.2406,0.2406,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (balanced),S&P500,RankICIR,0.1207,0.1207,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (balanced),S&P500,AR_pct,17.07,17.07,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (balanced),S&P500,Sharpe,0.7743,0.7743,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (residual),CSI500,ICIR,0.1104,0.1104,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (residual),CSI500,RankICIR,0.1808,0.1808,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (residual),CSI500,AR_pct,6.97,6.97,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (residual),CSI500,Sharpe,0.3511,0.3511,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (residual),S&P500,ICIR,0.3434,0.3434,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (residual),S&P500,RankICIR,0.1984,0.1984,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (residual),S&P500,AR_pct,23.65,23.65,0.0,paper_internal_identity_match_not_independent_reproduction
3,5,AlphaMemo (residual),S&P500,Sharpe,1.0672,1.0672,0.0,paper_internal_identity_match_not_independent_reproduction
7,8,AlphaMemo,CSI500,mean_effective_factors,76.0,76.0,0.0,paper_internal_identity_match_not_independent_reproduction
