file,sha256,summary,negative_search_limit
evidence/github_author_code_search_finvision.json,85d678109ac726920585f0cf0a010e4c7898b1e407159fb6fb4714743ce16cb6,one author-owned hit: descriptive research webpage,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_author_gists.json,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,zero public author gists,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_author_repos.json,e7bf55f93811b503e11f4b8d7eafd48ac7cedbf2f8db1d37125b8883106c8c09,27 current public author repositories; none attributable to FinVision,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_author_site_head.json,c4fa04d2b9f38504ef867c0173d9eeb039af4cbb9fad38c3529a5020a2534fca,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_author_site_repo.json,86b1b4216d9b57c49a19060a0e45f126322be2762257e0b22b4eaccd23915e52,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_author_user.json,d6af094662ebfa988ac3f9f06b39c02073a3be0c6756838363b863d6f391ee24,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_code_search_arxiv_id.json,188b66c747bffcf744cf86850f5deadfa6179c08c239d5586c89055ef21c6f92,26 indexed code hits; citations only,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_code_search_exact_title.json,18b76808af76712f5a7c2997120193467f9f50742c008f47d9e1a1a8cd2a7ba2,"42 indexed code hits; citation/index material, not an attributable system release",absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_code_search_finagent_values.json,b10f1a06c34f2b55fba656b154ee81624a671b8d62cc4849a6883ca7139528d1,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_code_search_finvision_values.json,72fe7d2d357f3fb515b8f249a9bfa81f69cfd5440667e4ef72f452b81f7c4a79,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_code_search_market_values.json,07fbe7cfc843344cc52644b3b0801a3c1a7999b2ad48e781fef695077e4290ce,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_code_search_models.json,c4ee8c767861fe552a0ad1940963426a71d4ae3ceeaded78849fd172342245f1,two paper-text hits; no implementation recovered,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_code_search_title_author.json,4e632efb707232bcffb57aeb3239a6b7ae0b4fc2a9ea018a0361fa00ad9e8a7c,19 indexed code hits; no implementation recovered,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_commit_search_arxiv_id.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_commit_search_exact_title.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_commit_search_models.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_search_arxiv_id.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,zero arXiv-id repository matches,absence in searched public indexes is not proof that private or deleted artifacts never existed
