canonical_work_id,check_id,paper_statement,audited_observation,status,effect_on_reproduction,paper_result_credit
CensusArxiv250720474,raw_mse_cross_token_ranking,TRX is the best performer because it has the lowest MSE,MSE is reported on token price scales differing by orders of magnitude; no normalization is disclosed,invalid_cross_scale_inference,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,table_alpha_semantics,Table 1 labels a column Alpha,"the same symbol denotes the LLM/ML fusion weight, but CV/MSE context could instead indicate regularization alpha",ambiguous_configuration,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,bnb_horizon,BNB is unstable in a 7-day window,forecast inputs are specified as 14D/48H and examples mention two future candles or 24 five-minute steps,horizon_not_reconciled,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,return_claim_without_return_result,abstract says the framework improves returns,"the paper reports no return, P&L, holdings, benchmark, or transaction-cost result",unsupported_outcome_claim,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,ablation_claim_without_ablation,introduction says extensive experiments and ablation studies,"no ablation table, configuration, protocol, or raw output is present",unsupported_experiment_claim,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,accuracy_lower_bound,Accuracy = 1 - |predicted-actual|/actual,the metric can be negative and no zero-price or aggregation convention is stated,metric_boundary_underspecified,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,win_rate_first_lag,sum runs from i=1 to T using predicted and actual values at i-1,predicted c_0 and actual c_0 are not defined in the evaluation protocol,metric_boundary_underspecified,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,forecast_shape_alignment,LLM emits a multi-step sequence and ML emits a one-step vector before fusion,"no shape, horizon, timestamp, or resampling alignment rule is stated",fusion_not_operationally_defined,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,cache_agent_four,all four partial reports are cached,"expiration tau is defined only for agents 1, 2, and 3",cache_policy_incomplete,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,entity_equation,E(n_i) = {e | e in T_ent},the right side does not depend on n_i and denotes allowed types rather than extracted entities,equation_not_operational,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,policy_gradient_label,feedback uses a lightweight policy-gradient update,"the printed update is ordinary gradient descent on L(S_u,y), with no policy, log probability, or reward estimator",algorithm_label_conflicts_with_equation,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,agent_three_subcomponents,A3 unions four f_k(D_k) components,the four D_k datasets/contracts are not defined sufficiently to execute,submodule_inputs_underspecified,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,signal_score_weights,"scores combine relevance, recency, and credibility weights","weight normalization, ranges, threshold, calibration, and tie handling are absent",ranking_rule_underspecified,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,public_perplexity_version,paper presents contemporary retrieval/case-study models,paper-time public platform pins Perplexity mixtral-8x7b-instruct and contains none of the paper's seven exact templates,public_component_version_mismatch,requires_author_clarification_or_missing_lineage,False
CensusArxiv250720474,medium_term_accuracy_claim,conclusion says medium-term forecasting accuracy improves,Table 1 has no horizon or baseline and Figure 6 is a qualitative recommendation comparison,claim_not_supported_by_reported_metric,requires_author_clarification_or_missing_lineage,False
