canonical_work_id,paper_version,source_path,bytes,sha256,source_kind,operational_system_code,raw_numeric_result_array,runtime_request_or_response,model_or_checkpoint,paper_result_reproduction_credit
CensusArxiv250720474,2507.20474v1,00README.json,370,879aa945022d205bdb67e7c777ec66c6b84374e218023505366e59c0a855a358,archive_metadata,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,acl.sty,11597,57ec5021756530bd01dab30657a3ca88bd20b1fd5694122b7f0daa9cfaa3e3ac,latex_build_dependency,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,acl_natbib.bst,45186,e332fd51dcea48e2a8a89754892c3cb99674a1cd70b527b661e9aaffc235e83c,latex_build_dependency,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,fig/Mlion_teaser.pdf,120216,60600ea5a6f264c974690ff46cb24654d561aff36ccdc9c1327061fa586978b3,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,fig/comp.pdf,96078,e7930587968289938f495a2ddcbe29d1c7407396906c310a7d9f27a07193abff,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,fig/news_driven_recommendation.pdf,64672,05acf9b00a8ae3d5a8ba3147a2a7175437a3a5bfd1a129fb5c757125c0bdd52a,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,fig/price_forecast.pdf,62286,a3032916553f7a73514fb94498f35a56f16cffbf85a3563a898af60d86ba00bf,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,fig/report_generation.pdf,62601,12739087e6cfb407d38da6d3c6afc8de962c17bfb3727fc88b4fe7a3d0641a46,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,fig/system_overview.pdf,79902,ab06dc08ba8d3abbeac6e12b5bfb8ae672d2cec834b10e019dce99372e446ee1,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,main.bib,84915,31388cfdb8947e56216d52af65a88e014981d00ccdafd62d81125ac3654cb693,bibliography,False,False,False,False,False
CensusArxiv250720474,2507.20474v1,main.tex,126625,1c9f26c99d821627a3e4cf5c8e3487c7e6d42d3068654cf18050aad1ebe37c06,manuscript,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,00README.json,298,aaf5cff2df3e47596154c69b4ce1396c0dad6db6a15c68ccd1e77c2d6d948d21,archive_metadata,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,acl.sty,11597,57ec5021756530bd01dab30657a3ca88bd20b1fd5694122b7f0daa9cfaa3e3ac,latex_build_dependency,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,acl_natbib.bst,45186,e332fd51dcea48e2a8a89754892c3cb99674a1cd70b527b661e9aaffc235e83c,latex_build_dependency,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,fig/Mlion_teaser.pdf,120216,60600ea5a6f264c974690ff46cb24654d561aff36ccdc9c1327061fa586978b3,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,fig/comp.pdf,96078,e7930587968289938f495a2ddcbe29d1c7407396906c310a7d9f27a07193abff,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,fig/news_driven_recommendation.pdf,64672,05acf9b00a8ae3d5a8ba3147a2a7175437a3a5bfd1a129fb5c757125c0bdd52a,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,fig/price_forecast.pdf,62286,a3032916553f7a73514fb94498f35a56f16cffbf85a3563a898af60d86ba00bf,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,fig/report_generation.pdf,62601,12739087e6cfb407d38da6d3c6afc8de962c17bfb3727fc88b4fe7a3d0641a46,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,fig/system_overview.pdf,79902,ab06dc08ba8d3abbeac6e12b5bfb8ae672d2cec834b10e019dce99372e446ee1,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v2,main.tex,126884,72067a2a5527ce89c57168a50cd32994ff4a8216b99b6280585824eaac1e23df,manuscript,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,00README.json,298,aaf5cff2df3e47596154c69b4ce1396c0dad6db6a15c68ccd1e77c2d6d948d21,archive_metadata,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,acl.sty,11597,57ec5021756530bd01dab30657a3ca88bd20b1fd5694122b7f0daa9cfaa3e3ac,latex_build_dependency,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,acl_natbib.bst,45186,e332fd51dcea48e2a8a89754892c3cb99674a1cd70b527b661e9aaffc235e83c,latex_build_dependency,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,fig/Mlion_teaser.pdf,120216,60600ea5a6f264c974690ff46cb24654d561aff36ccdc9c1327061fa586978b3,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,fig/comp.pdf,96078,e7930587968289938f495a2ddcbe29d1c7407396906c310a7d9f27a07193abff,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,fig/news_driven_recommendation.pdf,64672,05acf9b00a8ae3d5a8ba3147a2a7175437a3a5bfd1a129fb5c757125c0bdd52a,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,fig/price_forecast.pdf,62286,a3032916553f7a73514fb94498f35a56f16cffbf85a3563a898af60d86ba00bf,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,fig/report_generation.pdf,62601,12739087e6cfb407d38da6d3c6afc8de962c17bfb3727fc88b4fe7a3d0641a46,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,fig/system_overview.pdf,79902,ab06dc08ba8d3abbeac6e12b5bfb8ae672d2cec834b10e019dce99372e446ee1,rendered_figure_asset,False,False,False,False,False
CensusArxiv250720474,2507.20474v3,main.tex,126950,891645df41c0dc188f2312717b89216acfccaf2dbe14b1bc918f7e6c2055857d,manuscript,False,False,False,False,False
