search,url_or_endpoint,checked_at_utc,bounded_result,attributable_operational_release_found,negative_inference_boundary
arxiv_2502_v1_v2_source,https://arxiv.org/abs/2502.00415,2026-08-12T00:40:00Z,18-file v1 and 14-file v2 manuscript bundles; no operational code/data,False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
arxiv_2604_v1_source,https://arxiv.org/abs/2604.17327,2026-08-12T00:40:00Z,13-file manuscript bundle with ten rendered empirical figures; no raw panel/code,False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
first_author_github_repositories,https://github.com/giorgosfatouros,2026-08-12T00:40:00Z,16 public repositories returned; none named or described as MarketSenseAI,False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
first_author_github_exact_code_queries,https://api.github.com/search/code,2026-08-12T00:40:00Z,"MarketSenseAI, 2502.00415, and 2604.17327 each returned zero in the author account",False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
company_github_organization,https://github.com/aTensorTechnologies,2026-08-12T00:40:00Z,zero public repositories returned; exact code queries returned zero,False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
global_github_repository_query,https://api.github.com/search/repositories?q=MarketSenseAI,2026-08-12T00:40:00Z,37 index/unaffiliated/name-collision matches; none attributable to the authors/company,False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
global_github_arxiv_id_query,https://api.github.com/search/code?q=2604.17327,2026-08-12T00:40:00Z,secondary indexes and derivative research notes only; no author implementation,False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
official_product_site_bundle,https://marketsense-ai.com,2026-08-12T00:40:00Z,"commercial web app/API references; no public code, dataset, or result download",False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
official_company_research_bundle,https://alpha-tensor.ai/research,2026-08-12T00:40:00Z,research page links the two arXiv papers but exposes no source/data artifact,False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
awesome_applied_agents_entry,https://github.com/Sasha-Cui/Awesome-Applied-Agents-for-Investment,2026-08-12T00:40:00Z,"the parenthetical source link is the arXiv record, not a code repository",False,no_public_attributable_release_found_in_checked_surfaces; not_proof_that_private_deleted_or_unindexed_artifacts_never_existed
