canonical_work_id,claim,published_value,claim_scope,native_reproduced_value,status,paper_result_credit
CensusArxiv250200415,signal changes after filings/calls,approximately 5%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv250200415,unexplained returns after factors,12--15%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv250200415,S&P500 equal-weight relative outperformance,102%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv250200415,S&P100 MS-Cap Sortino improvement,16%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv250200415,S&P500 MS-Cap Sortino improvement,33.8%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,pooled Financials strong-buy share,21.8% vs 15.1%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,pooled Information Technology share,17.0% vs 14.2%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,pooled Energy share,1.8% vs 4.4%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,pooled Materials share,2.2% vs 5.1%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,pooled Consumer Staples share,4.7% vs 7.4%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,early Financials share,24.8% vs 15.1%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,later Information Technology share,21.7%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,strong-buy vs buy mean return S&P500,1.47% vs 1.35%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,strong-buy vs buy mean return S&P100,1.67% vs 1.39%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,minus-10-percent left-tail exceedance,7.5% vs 10.2%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,beta regression,beta 0.865; alpha 1.18%/month,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,beta regression inference,t 1.45; p 0.17; R2 0.60,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,simple annualized beta-regression alpha,14.2%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,individual strong-buy beta,1.06 vs universe 1.00,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,up-market conditional returns,5.22% vs 4.39%; excess 0.82%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,down-market conditional returns,-2.00% vs -3.32%; excess 1.31%,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,down-market conditional test,8 observations; p 0.28,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,information compression S&P500,approximately 9x,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
CensusArxiv260417327,information compression S&P100,approximately 6x,material_non_table_or_figure_annotation_not_exhaustive_repeated_prose,,unavailable_no_native_result_inputs_or_pipeline,False
