paper_version,path,bytes,sha256,asset_role,operational_system_code,raw_numeric_result_array,native_signal_or_portfolio_output
2502.00415v1,fig-2024-spx500.png,110815,85a317c215b57445002cfd9fcd546a0e731235d586e5d2f1368cd6d602679dc2,author_rendered_empirical_figure,False,False,False
2502.00415v1,fig-fundamentals-hist.png,69591,b4c5d32a4ab6b7a82c265334c5a014a6f76b9bf800f39f8d7e4ff69dc4c5f22a,author_rendered_empirical_figure,False,False,False
2502.00415v1,fig-fundamentals-scatter.png,182913,e6c7a2d475fac4f45b853b687ddfb563e2871f223836875c27a2bb69f7da6334,author_rendered_empirical_figure,False,False,False
2502.00415v1,fig-fundamentals-v2.png,416429,984f560c67edd49acd142639aa8c72a311473e7a0842b941d2fc1020172d29c0,manuscript_architecture_figure,False,False,False
2502.00415v1,fig-macro-inference.png,246097,9885e60b16b9482ad28cb7e273cddade54a561913e1e8bea2c5688196ae3370c,manuscript_architecture_figure,False,False,False
2502.00415v1,fig-macro-injection.png,460840,32caae02c15b65d65cbc2471876369dcfe5d6f52a3db0976389c8267139b837c,manuscript_architecture_figure,False,False,False
2502.00415v1,fig-macro.png,784115,3cbfd4b3fde87279b95777070e83836720258d4b1282c221ff74c78e72a5acaf,manuscript_architecture_figure,False,False,False
2502.00415v1,fig-ms-agents.png,1614912,c78d195a90158c1f95cf1c992da0d5c529da30de206caea04effe79575598eec,manuscript_architecture_figure,False,False,False
2502.00415v1,fig-ms-hist.png,655950,8ecdca855584b73d89300c444355c73ce2caa5545b083fa5c45fcbac1c37f90d,author_rendered_empirical_figure,False,False,False
2502.00415v1,fig-ms-scatter.png,1199488,90a00439552a3eb9facdb324bebcd6a8700f6a07ea867675ebc41d7235356dd6,author_rendered_empirical_figure,False,False,False
2502.00415v1,fig-spx100.png,101964,edbf806ee2bd9c55d3968ac3d3d03c2708c9a57ef35a90994d1b99eb167da8f9,author_rendered_empirical_figure,False,False,False
2502.00415v1,sn-apacite.bst,147148,e116fd9ea9cb591c13b106f120fadaf0e25438e0d4b3a33f87e2ff764d639734,manuscript_source,False,False,False
2502.00415v1,sn-article-arxiv.bbl,25610,bc328521a1ad2a9df5fb3d78a93d6d9423cb03118f6370dca253d50a5b6fff0a,manuscript_source,False,False,False
2502.00415v1,sn-article-arxiv.tex,60557,0fd5a099435028e019a694fe6b089915ccfcddb836447d93a17a39bb81fc61a2,manuscript_source,False,False,False
2502.00415v1,sn-jnl.cls,55331,e5dfcecf9b1873725ebac576b2732b8cc21d320b34748bf95b4f9d26a631ebd0,manuscript_source,False,False,False
2502.00415v1,sn-mathphys-ay.bst,64140,f1cb6b34adde76e0abb17420885e3e0ea79ced5508d61f69e62b06e18c7d66b5,manuscript_source,False,False,False
2502.00415v1,sn-mathphys-num.bst,64141,9f54bd1e93035022a5a6cfe0d5e0a2b0aedcb762079d3e487befa2bf2ecd1db8,manuscript_source,False,False,False
2502.00415v1,sn-nature.bst,38349,74903cbe8c0f608a17c5cb7365f7bb085fceef94dd563196a4ef827386a6f9f1,manuscript_source,False,False,False
2502.00415v2,00README.json,226,596436e3bd551fc726f0aa7a2849590f801f31f2ff582df4abd20161131345bc,manuscript_build_metadata,False,False,False
2502.00415v2,IEEEtran.cls,281957,da751920a317ed318b7b5cd7fa585a6cc7d28502d457856382e9be24b10a3bd7,manuscript_source,False,False,False
2502.00415v2,conference_101719.bbl,13061,b292655554a05d91ea1f8f62eb0482a273d782b69e4bc31b248fc8f0d71da6a8,manuscript_source,False,False,False
2502.00415v2,conference_101719.tex,56604,6223e8dc7ff1412d0952030ca8a96b83d83964d190d5f9b2a53c21e473e92984,manuscript_source,False,False,False
2502.00415v2,fig-2024-spx500.png,110815,85a317c215b57445002cfd9fcd546a0e731235d586e5d2f1368cd6d602679dc2,author_rendered_empirical_figure,False,False,False
2502.00415v2,fig-fundamentals-hist.png,69591,b4c5d32a4ab6b7a82c265334c5a014a6f76b9bf800f39f8d7e4ff69dc4c5f22a,author_rendered_empirical_figure,False,False,False
2502.00415v2,fig-fundamentals-scatter.png,182913,e6c7a2d475fac4f45b853b687ddfb563e2871f223836875c27a2bb69f7da6334,author_rendered_empirical_figure,False,False,False
2502.00415v2,fig-fundamentals-v2.png,416429,984f560c67edd49acd142639aa8c72a311473e7a0842b941d2fc1020172d29c0,manuscript_architecture_figure,False,False,False
2502.00415v2,fig-macro-inference.png,246097,9885e60b16b9482ad28cb7e273cddade54a561913e1e8bea2c5688196ae3370c,manuscript_architecture_figure,False,False,False
2502.00415v2,fig-macro-injection.png,460840,32caae02c15b65d65cbc2471876369dcfe5d6f52a3db0976389c8267139b837c,manuscript_architecture_figure,False,False,False
2502.00415v2,fig-ms-agents.png,1614912,c78d195a90158c1f95cf1c992da0d5c529da30de206caea04effe79575598eec,manuscript_architecture_figure,False,False,False
2502.00415v2,fig-ms-hist.png,655950,8ecdca855584b73d89300c444355c73ce2caa5545b083fa5c45fcbac1c37f90d,author_rendered_empirical_figure,False,False,False
2502.00415v2,fig-ms-scatter.png,1199488,90a00439552a3eb9facdb324bebcd6a8700f6a07ea867675ebc41d7235356dd6,author_rendered_empirical_figure,False,False,False
2502.00415v2,fig-spx100.png,101964,edbf806ee2bd9c55d3968ac3d3d03c2708c9a57ef35a90994d1b99eb167da8f9,author_rendered_empirical_figure,False,False,False
2604.17327v1,00README.json,213,d1f6b1a71c9accb812ec5121d1fff7910c025ca7bb201948bacdb40941bc14e5,manuscript_build_metadata,False,False,False
2604.17327v1,figures/fig2.pdf,31884,a5c7cd58267095fefc1a83aa867d6632070cb53fc6e3b32267732b9c51a8cf4f,author_rendered_empirical_figure,False,False,False
2604.17327v1,figures/fig3.pdf,29056,2aa7b39ce29f4f8cfcdb2986177052429b8126f6f22f9e9fa80d339de6bbf75b,author_rendered_empirical_figure,False,False,False
