canonical_work_id,bibtex_key,title,year,source_name,candidate_id,paper_ref,proxy_formula,mapping_fidelity_tier,implementation_basis,replication_scope,source_evidence_status,mapping_support_note,central_omitted_components,benefit_of_doubt_implementation,negative_evidence_boundary,mapping_frozen_before_us_returns_inspected,independent_second_coder,capm_alpha_annualized,capm_alpha_t_hac,capm_p_value_two_sided,capm_holm_p_value,capm_positive,capm_nominal_positive,capm_holm_positive,ff3_alpha_annualized,ff3_alpha_t_hac,ff3_p_value_two_sided,ff3_holm_p_value,ff3_positive,ff3_nominal_positive,ff3_holm_positive,ff5_mom_alpha_annualized,ff5_mom_alpha_t_hac,ff5_mom_p_value_two_sided,ff5_mom_holm_p_value,ff5_mom_positive,ff5_mom_nominal_positive,ff5_mom_holm_positive,ff5_mom_jkp132_alpha_annualized,ff5_mom_jkp132_alpha_t_hac,ff5_mom_jkp132_p_value_two_sided,ff5_mom_jkp132_holm_p_value,ff5_mom_jkp132_positive,ff5_mom_jkp132_nominal_positive,ff5_mom_jkp132_holm_positive,strongest_benchmark_positive,strongest_benchmark_nominal_positive,strongest_benchmark_holm_positive,alpha_attenuation_ff3_to_jkp132,alpha_attenuation_ff5_mom_to_jkp132,closest_factor_id,closest_factor_column,closest_factor_correlation,closest_factor_absolute_correlation,closest_factor_common_months,closest_factor_common_start,closest_factor_common_end
CensusACL2024findingsacl233,CensusACL2024findingsacl233,Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model,2024,FAMA,fama_value_momentum_interpretable,010 FAMA,rank(be_me)+rank(ret_12_1)+rank(ope_be)-rank(market_equity),M1_example_or_motif_partial_support,source_grounded_paper_component,not_recorded,paraphrased source rationale; no exact source text supports the complete tested formula,"The source supplies examples or economic motifs, not the complete tested score and portfolio rule.",language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and expose the full top-minus-bottom decile spread with one unit notional per leg; report gross and cost-adjusted results,"may evaluate the documented component only; not the native system, full paper, or original metric",no,no,-0.0877451244877,-2.65297811476,0.00797850437474,0.30318316624,False,False,False,-0.0507906875452,-1.63803736944,0.101413898573,1,False,False,False,-0.035994767477,-1.64091574248,0.100814906696,1,False,False,False,-0.0283702279351,-1.29536419641,0.195194623031,1,False,False,False,none,none,none,-0.0224204596102,-0.00762453954199,aliq_mat,char__aliq_mat,0.597802919465,0.597802919465,246,2001-08-31,2022-01-31
CensusACL2025findingsacl716,CensusACL2025findingsacl716,FLAG-TRADER: Fusion LLM-Agent with Gradient-based Reinforcement Learning for Financial Trading,2025,FLAG-Trader,paper_flag_trader_gradient_policy,031 FLAG-Trader,rank(ret_3_1)+rank(ret_12_1)-rank(ret_1_0)+rank(qmj_safety)-rank(rvol_21d)-rank(beta_252d),M0_narrative_translation,in_spirit_reconstruction,paper_in_spirit_proxy,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and expose the full top-minus-bottom decile spread with one unit notional per leg; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.124962043454,2.58275031043,0.00980162314783,0.343056810174,True,True,False,0.0390657638105,0.97582660792,0.329150396709,1,True,False,False,0.0347376101122,0.939754517784,0.347343493489,1,True,False,False,-0.0272747911127,-0.902900385583,0.366578765991,1,False,False,False,ff5_mom,capm,none,0.0663405549233,0.062012401225,betabab_1260d,char__betabab_1260d,-0.876222772883,0.876222772883,246,2001-08-31,2022-01-31
CensusACL2026findingsacl456,CensusACL2026findingsacl456,AlphaQuanter: An End-to-End Tool-Augmented Agentic Reinforcement Learning Framework for Stock Trading,2026,AlphaQuanter,code_alphaquanter_tool_orchestrated_rl,027 AlphaQuanter,rank(ret_3_1)+rank(ret_12_1)+rank(turnover_126d)-rank(rvol_21d)-rank(beta_252d),M0_narrative_translation,in_spirit_reconstruction,code_link_in_spirit_proxy,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and expose the full top-minus-bottom decile spread with one unit notional per leg; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.121494869981,2.48759563419,0.0128609870065,0.424412571213,True,True,False,0.0361594466904,0.968168659939,0.33296014405,1,True,False,False,0.0281575583913,0.779052288529,0.435948913823,1,True,False,False,-0.0459861069718,-1.31162325245,0.189647283486,1,False,False,False,ff5_mom,capm,none,0.0821455536623,0.0741436653631,prc_highprc_252d,char__prc_highprc_252d,0.834731982831,0.834731982831,246,2001-08-31,2022-01-31
CensusArxiv231113743,CensusArxiv231113743,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2023,FinMem,code_finmem_memory_trend,028 FinMem,rank(ret_12_1)-rank(ret_1_0)+rank(qmj_safety)+rank(cash_at)-rank(rvol_252d),M0_narrative_translation,in_spirit_reconstruction,code_link_in_spirit_proxy,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and expose the full top-minus-bottom decile spread with one unit notional per leg; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.111187848023,2.41905290097,0.0155609769961,0.48239028688,True,True,False,0.0290706785349,0.803169657183,0.421876680809,1,True,False,False,0.0253908752116,0.834145865553,0.40419879208,1,True,False,False,-0.0468809416929,-1.90425509947,0.0568769688589,1,False,False,False,ff5_mom,capm,none,0.0759516202277,0.0722718169045,qmj_safety,char__qmj_safety,0.770864966637,0.770864966637,246,2001-08-31,2022-01-31
CensusArxiv240203755,CensusArxiv240203755,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,2024,QuantAgent Holy Grail,quantagent_three_soldiers_trend,026 QuantAgent Holy Grail,rank(ret_1_0)+rank(ret_3_1)+rank(turnover_126d)-rank(rvol_21d),M0_narrative_translation,in_spirit_reconstruction,not_recorded,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and expose the full top-minus-bottom decile spread with one unit notional per leg; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.109997938533,2.03363595263,0.0419883141055,0.956797138977,True,True,False,0.0687002423383,1.48508007655,0.137522613111,1,True,False,False,0.0645375886533,1.33425447094,0.182120473271,1,True,False,False,0.034611426777,0.824628905941,0.409582305327,1,True,False,False,ff5_mom_jkp132,capm,none,0.0340888155613,0.0299261618763,ret_3_1,char__ret_3_1,0.674800252316,0.674800252316,246,2001-08-31,2022-01-31
CensusArxiv240203755,CensusArxiv240203755,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,2024,QuantAgent Holy Grail,quantagent_volatility_breakout,026 QuantAgent Holy Grail,rank(rmax5_rvol_21d)+rank(ret_1_0)+rank(ret_3_1)-rank(rvol_21d),M0_narrative_translation,in_spirit_reconstruction,not_recorded,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and expose the full top-minus-bottom decile spread with one unit notional per leg; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.126311098828,2.54863837874,0.0108144373392,0.367690869534,True,True,False,0.0709168772972,1.46216142646,0.143696979208,1,True,False,False,0.0565484409126,1.23642955871,0.216298934472,1,True,False,False,0.035731530695,0.815992735784,0.414504290429,1,True,False,False,ff5_mom_jkp132,capm,none,0.0351853466022,0.0208169102176,prc_highprc_252d,char__prc_highprc_252d,0.81361493032,0.81361493032,246,2001-08-31,2022-01-31
CensusArxiv240209746,CensusArxiv240209746,Alpha-GPT 2.0: Human-in-the-Loop AI for Quantitative Investment,2024,Alpha-GPT 2.0,paper_alpha_gpt2_full_pipeline,012 Alpha-GPT 2.0,rank(be_me)+rank(ret_12_1)+rank(qmj)+rank(sale_gr1)-rank(rvol_252d)-rank(beta_252d),M0_narrative_translation,in_spirit_reconstruction,paper_in_spirit_proxy,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and expose the full top-minus-bottom decile spread with one unit notional per leg; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.135482038073,2.68683532529,0.00721325049649,0.288530019859,True,True,False,0.0473325202148,1.19767050087,0.231045317812,1,True,False,False,0.0526969671429,1.38169710608,0.167064723345,1,True,False,False,0.0024512073198,0.0695733739708,0.944533230066,1,True,False,False,ff5_mom_jkp132,capm,none,0.044881312895,0.0502457598231,betabab_1260d,char__betabab_1260d,-0.896213766387,0.896213766387,246,2001-08-31,2022-01-31
CensusArxiv240218485,CensusArxiv240218485,"A Multimodal Foundation Agent for Financial Trading: Tool-Augmented, Diversified, and Generalist",2024,FinAgent,paper_finagent_multimodal_generalist,030 FinAgent,long-only top decile by rank(qmj)+rank(ret_12_1)+rank(dolvol_126d)+rank(cash_at)-rank(rvol_252d)-rank(beta_252d)-rank(debt_at),M0_narrative_translation,in_spirit_reconstruction,paper_in_spirit_proxy,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and hold the highest-score names long only; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.0489888178456,2.894061721,0.00380293401053,0.159723228442,True,True,False,0.0186443718308,1.78680813916,0.0739685034135,1,True,False,False,0.016239194403,1.60182984425,0.109193241581,1,True,False,False,-0.000522467138878,-0.046785566587,0.962684132632,1,False,False,False,ff5_mom,capm,none,0.0191668389697,0.0167616615419,betadown_252d,char__betadown_252d,0.504608960584,0.504608960584,246,2001-08-31,2022-01-31
CensusArxiv240610811,CensusArxiv240610811,LLMFactor: Extracting Profitable Factors through Prompts for Explainable Stock Movement Prediction,2024,LLMFactor,paper_llmfactor_explainable_price_news,019 LLMFactor,rank(ret_12_1)+rank(sale_gr1)+rank(gp_me)+rank(dolvol_126d)-rank(rvol_252d),M0_narrative_translation,in_spirit_reconstruction,paper_in_spirit_proxy_no_news_available,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,news/text/event inputs; language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and expose the full top-minus-bottom decile spread with one unit notional per leg; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.110965374907,2.59419562938,0.00948125214695,0.34132507729,True,True,False,0.0405639823687,1.33122997133,0.183113352435,1,True,False,False,0.0390956990264,1.53679337807,0.124343915549,1,True,False,False,-0.0101322464287,-0.457133204577,0.647575305155,1,False,False,False,ff5_mom,capm,none,0.0506962287974,0.0492279454551,betabab_1260d,char__betabab_1260d,-0.85602538088,0.85602538088,246,2001-08-31,2022-01-31
CensusArxiv240706567,CensusArxiv240706567,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,2024,FinCon,repo_fincon_cvar_risk_controlled_allocator,029 FinCon,long-only top decile by rank(ret_12_1)+rank(ope_be)+rank(qmj_safety)+rank(dolvol_126d)-rank(rvol_252d)-rank(beta_252d)-rank(betadown_252d),M0_narrative_translation,in_spirit_reconstruction,repo_in_spirit_proxy,paraphrased source rationale; no exact source text supports the complete tested formula,The exact characteristics and signs are researcher-selected translations of narrative economic content.,language generation/search; memory/debate/tool use; native timing and execution,use the source-motivated score in its favorable direction and hold the highest-score names long only; report gross and cost-adjusted results,cannot count as evidence against the source; tests only the researcher's favorable economic translation,no,no,0.0437386381615,2.28088807855,0.0225550705715,0.586431834859,True,True,False,0.0177690061636,1.12055347116,0.262477979928,1,True,False,False,0.0158577304138,0.95220478075,0.340993136917,1,True,False,False,-0.00468471791135,-0.342229920785,0.732177869669,1,False,False,False,ff5_mom,capm,none,0.0224537240749,0.0205424483252,qmj_safety,char__qmj_safety,-0.42606687427,0.42606687427,246,2001-08-31,2022-01-31
