path,bytes,sha256,artifact_type,paper_result_credit
00README.json,213,d1f6b1a71c9accb812ec5121d1fff7910c025ca7bb201948bacdb40941bc14e5,paper_source_not_executable_system_source,False
appendix/01_data_collection.tex,20421,556523384298398ff2628bebf2eda35165053973a5ce6e7bacee2f75f8673ece,paper_source_not_executable_system_source,False
appendix/02_label_generation_evaluation.tex,4768,9b80872dca9de1341f9119b9d132b21370819953d340f27632daab2378871535,paper_source_not_executable_system_source,False
appendix/03_trading_proposal_specs.tex,4666,fd9b32ead1d0b68886b7b062a39fb1117cdf90e9038503026d6800fe07ac1756,paper_source_not_executable_system_source,False
appendix/04_reward_design.tex,7709,e183a1c6ed497ae894d36c4f11499875e7e95eb44c0235d16b4e0bbba4ef79c9,paper_source_not_executable_system_source,False
appendix/05_r0.tex,16478,c1a2b1a331b2d5a73058c707c656f1cc0f399c4b4632cbe879eb7df35d316913,paper_source_not_executable_system_source,False
appendix/06_sample_output_traces.tex,131,957a64967cf32b5aab80cd478bcf345ad492be2f85582c87ef6f8c279874e788,paper_source_not_executable_system_source,False
appendix/case_studies/avgo.tex,25417,002fec3325757d9434c631394f4a2e08350920a75aa5bf0bd3a6c2610d838820,paper_source_not_executable_system_source,False
appendix/case_studies/msft.tex,27597,4ce185db34767bc3060ea8d8081d9b1b023ea0b77877c1c09469354dc5013e4a,paper_source_not_executable_system_source,False
figures/reasoning_distillation.pdf,222586,070d62a41ee97400c92b0badadb23fde99ba387f5fd0e4f23a97803f63d7cc99,paper_source_not_executable_system_source,False
figures/reinforcement_learning.pdf,257069,1e62894e897fbf76f604b15a4249513ec4085430b648f40c913b143567c5cd02,paper_source_not_executable_system_source,False
figures/reward_matrix.pdf,109506,5830c977724c09164364d341c960d14e8ead2e0ec007ea384f19717f9b0622d2,paper_source_not_executable_system_source,False
figures/schema.pdf,476872,4afcc8c761d00b6b2ca5a8c23bdf049df12ac9020c820cd0f2e382aee4183759,paper_source_not_executable_system_source,False
figures/sr_heatmap.pdf,27942,a7e30197cc3059d6d8221f906480123b6a527c7f53a514c6abef827df11c1f29,paper_source_not_executable_system_source,False
figures/supervised_finetune.pdf,447797,946db5499978c0c3b57f7fdfe5a3ee085f3693e34da81206124cad75206378c5,paper_source_not_executable_system_source,False
figures/thesis_sampling.pdf,200907,1e040b6590baf44af1be2d155d0174e5621d0a2fa36834feef42e8c84d02e47c,paper_source_not_executable_system_source,False
images/tauric-research-logo.pdf,17943,1f784f8a8ca6177b020462c94c104f9099225c99de9a9002bfb42232561f270c,paper_source_not_executable_system_source,False
main.bbl,28880,28ff9f7efc897be43d98132751dbcfbd7fda5f0f562aabc8a165ba65ea1df697,paper_source_not_executable_system_source,False
main.tex,2876,fbf9749bfff913a4a36d17fd8abdae88256e58bac276661d985f56975bc1c5b4,paper_source_not_executable_system_source,False
preprint.cls,4347,b0225f97073b2f99144f1a30233c2c7c04da372cc1f4a3d2e692f47b229bc8fe,paper_source_not_executable_system_source,False
sections/0.abstract.tex,1474,4f691557a75eeb090dba51beae06f738d8a7d1ce6c6f7b6417a8c78cffa32029,paper_source_not_executable_system_source,False
sections/1.introduction.tex,5542,410aa767b14b1259fa265675173bd29d7c762ceaaa04cc0cde89433aad445493,paper_source_not_executable_system_source,False
sections/2.related.tex,7858,15c9a5676f00ab3eb4ceb096e8e5608f96b02856c7477280cd81b8d3da69b7da,paper_source_not_executable_system_source,False
sections/3.methodology.tex,24068,06b29464a2398f2dcf64e9de5b144e57e827d2b96eed6a76aea1bd2a6e8cf1f6,paper_source_not_executable_system_source,False
sections/4.experiments.tex,5065,84073aab9a442e1b768e6b79d33500de96f9b54437acb862040f88c6cf7fa792,paper_source_not_executable_system_source,False
sections/5.results.tex,12622,1e1eb2bed6593d7f84c98214194c05bfd50293deee27f452bcd490b8242b7dac,paper_source_not_executable_system_source,False
sections/6.conclusion.tex,1622,9d305bf2963c7249956671eb70d01897e70d46f4a8c608b2763ff623521d5e92,paper_source_not_executable_system_source,False
sections/appendix.tex,250,384fda38e0a480aafaa08ba7f58ec2cd0f321524f9d23bf460ab239f2b98c577,paper_source_not_executable_system_source,False
sections/application_future.tex,6974,1ab4bd99817c934a686e451530520b0693eb65d29e29697d4a4a2f1ea5c1dc06,paper_source_not_executable_system_source,False
