table_label,row_index,row_label,quantitative_column_index,printed_cell,unit_definition,source_document_recovered,raw_result_record_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,1,-32.13,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,2,-0.91,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,3,62.10,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,4,-34.21,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,5,-0.28,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,6,59.40,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,7,-52.35,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,8,-0.32,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,9,61.20,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,10,-1.04,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,11,-0.02,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,12,22.60,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,13,-0.22,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,14,-0.01,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,3,\Xhline2\arrayrulewidth Random,15,17.60,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,1,-16.40,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,2,-0.71,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,3,63.00,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,4,-16.03,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
