cell_index,table_label,finrs_printed_cell,finpos_v1_printed_cell,exact_display_match,lineage_interpretation
1,tab:model_comparison,-32.13,-32.13,True,"displayed-value reuse, not an independently regenerated result"
2,tab:model_comparison,-0.91,-0.91,True,"displayed-value reuse, not an independently regenerated result"
3,tab:model_comparison,62.10,62.10,True,"displayed-value reuse, not an independently regenerated result"
4,tab:model_comparison,-34.21,-34.21,True,"displayed-value reuse, not an independently regenerated result"
5,tab:model_comparison,-0.28,-0.28,True,"displayed-value reuse, not an independently regenerated result"
6,tab:model_comparison,59.40,59.40,True,"displayed-value reuse, not an independently regenerated result"
7,tab:model_comparison,-52.35,-52.35,True,"displayed-value reuse, not an independently regenerated result"
8,tab:model_comparison,-0.32,-0.32,True,"displayed-value reuse, not an independently regenerated result"
9,tab:model_comparison,61.20,61.20,True,"displayed-value reuse, not an independently regenerated result"
10,tab:model_comparison,-1.04,-1.04,True,"displayed-value reuse, not an independently regenerated result"
11,tab:model_comparison,-0.02,-0.02,True,"displayed-value reuse, not an independently regenerated result"
12,tab:model_comparison,22.60,22.60,True,"displayed-value reuse, not an independently regenerated result"
13,tab:model_comparison,-0.22,-0.22,True,"displayed-value reuse, not an independently regenerated result"
14,tab:model_comparison,-0.01,-0.01,True,"displayed-value reuse, not an independently regenerated result"
15,tab:model_comparison,17.60,17.60,True,"displayed-value reuse, not an independently regenerated result"
16,tab:model_comparison,-16.40,-16.40,True,"displayed-value reuse, not an independently regenerated result"
17,tab:model_comparison,-0.71,-0.71,True,"displayed-value reuse, not an independently regenerated result"
18,tab:model_comparison,63.00,63.00,True,"displayed-value reuse, not an independently regenerated result"
19,tab:model_comparison,-16.03,-16.03,True,"displayed-value reuse, not an independently regenerated result"
20,tab:model_comparison,-0.54,-0.54,True,"displayed-value reuse, not an independently regenerated result"
21,tab:model_comparison,47.94,47.94,True,"displayed-value reuse, not an independently regenerated result"
22,tab:model_comparison,-15.53,-15.53,True,"displayed-value reuse, not an independently regenerated result"
23,tab:model_comparison,-0.45,-0.45,True,"displayed-value reuse, not an independently regenerated result"
24,tab:model_comparison,68.91,68.91,True,"displayed-value reuse, not an independently regenerated result"
25,tab:model_comparison,6.84,6.84,True,"displayed-value reuse, not an independently regenerated result"
26,tab:model_comparison,0.42,0.42,True,"displayed-value reuse, not an independently regenerated result"
27,tab:model_comparison,23.08,23.08,True,"displayed-value reuse, not an independently regenerated result"
28,tab:model_comparison,-7.65,-7.65,True,"displayed-value reuse, not an independently regenerated result"
29,tab:model_comparison,-0.01,-0.01,True,"displayed-value reuse, not an independently regenerated result"
30,tab:model_comparison,16.73,16.73,True,"displayed-value reuse, not an independently regenerated result"
31,tab:model_comparison,-49.21,-49.21,True,"displayed-value reuse, not an independently regenerated result"
32,tab:model_comparison,-0.63,-0.63,True,"displayed-value reuse, not an independently regenerated result"
33,tab:model_comparison,74.20,74.20,True,"displayed-value reuse, not an independently regenerated result"
34,tab:model_comparison,-46.83,-46.83,True,"displayed-value reuse, not an independently regenerated result"
35,tab:model_comparison,-0.57,-0.57,True,"displayed-value reuse, not an independently regenerated result"
36,tab:model_comparison,61.40,61.40,True,"displayed-value reuse, not an independently regenerated result"
