repository,path,bytes,source_object_id,object_id_type,compile_status,native_author_source,native_paper_result_output
tasoo-oos/LLMFactor,.gitignore,257,2bf507a580a1a9b918c46955e17cc7a25b2785bc,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,LICENSE,1065,72d39ebb7cb6b1047f128452a87fed5ae16d3ed7,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,README.md,702,90e43bd7de9d177e57c4b8caa55c2a8f9f3bfb8c,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,TODO.md,210,1eeba68defe0fbeed94256802db040bf97f5e3de,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,config.json.example,1140,191a7a77e87d935834550f771a05decd944e0030,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,llmfactor/__init__.py,269,4e2424516489e28c8d5166ff70962da973c3f29b,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/__main__.py,60,27d14a7b03c5c4141406dbb361a1369243db2004,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/cli.py,2620,120a9c42f246201338280d4661216c4c0f2801c9,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/__init__.py,0,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/__init__.py,287,58dd2a5e5ed3af5dc6120759a0f4186b43887008,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/data_fetch_stage/__init__.py,117,6e121fef7cb5962e2bc638d844f578eb32f1ee7e,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/data_fetch_stage/v1.py,999,bcc181c37423b2c98fb8296e3321d80fe8278413,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/data_fetch_stage/v2.py,1271,b88858287e955899a9eebb6a5cd00eb9482bf935,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/factor_extract_again_stage/__init__.py,82,23918a52997084d4b69f71429f5aae12549af6e9,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/factor_extract_again_stage/v1.py,2069,2804bdd83eb3fb9663cb6114bb22ffc0ac39b185,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/factor_extract_stage/__init__.py,72,3be54e6d23a53241638b78f4462c5a4b1ddfa306,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/factor_extract_stage/v1.py,1622,32abe65936dedd2e5fa168bd8fd8bc8ad242f41b,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/fake_news/__init__.py,62,55f50fbe3469cc6b70b7af7e8f23ba079fe043e1,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/fake_news/v1.py,1824,a484643733c28e1b7059b3f3e3017c24b3ec724e,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/news_text_format_stage/__init__.py,74,6069b197da5199ebf4c6129f6e452669980d5bdc,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/news_text_format_stage/v1.py,929,6ea1e62a35e2cfeeeeca1c92c83b21001e2236ec,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/pipeline.py,5842,2855b0ccc269fc1149741a3de1748670bd225828,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/price_analysis_stage/__init__.py,72,4ae88931afcb5572cef2f38f4f18262684091e13,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/price_analysis_stage/v1.py,1573,a6272b233220fc9f9eb78561c2ecd95a9b72f0a6,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/price_text_format_stage/__init__.py,76,e5871a43ba9cc5c0e080369020b653f909669ba5,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/price_text_format_stage/v1.py,1595,b9fb215d9165c5b1d49944d6ab2118facfd3c077,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/registry.py,947,df64068cdcf82f4a4c4fcdb9e4283736aace19ac,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/resolve_prediction_stage/__init__.py,80,6a83eb32bf1520ab0ae45cf9f00c3b18171e7bfc,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/component/resolve_prediction_stage/v1.py,1077,d9bcc892659bfdef2722443b2473c63728c20e59,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/runner.py,2670,347ae1e2a85d2931693ed92959e79219fd9069dd,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/core/scheduler.py,4277,b5318eb348da5fba8032769d36f301840139dfd6,git_sha1,compiled,no,no
tasoo-oos/LLMFactor,llmfactor/data/CMIN-US/news/raw/AAPL.csv,43436627,7787950f030bdde6d757666b461f691f6101d20d,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,llmfactor/data/CMIN-US/news/raw/ABBV.csv,3827647,d1d0c4fa1756a6a05c7f230b2de0f4b7bfed4372,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,llmfactor/data/CMIN-US/news/raw/ABT.csv,2479917,038a70cd30dd23f43176a5d0e8ef4d18ce437524,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,llmfactor/data/CMIN-US/news/raw/ACN.csv,2116475,bdfb6a509ace4cb148c2dc6cbc3314f3f4e0536f,git_sha1,not_python,no,no
tasoo-oos/LLMFactor,llmfactor/data/CMIN-US/news/raw/ADBE.csv,3411026,915edbb53f717fbf6eb6b978fa05ddea0fe73446,git_sha1,not_python,no,no
