check,status,evidence
cost_figure_vs_table,major_numeric_conflict,embedded Figure 3 reports about 0.84--0.92 while Table 7 reports 0.481--0.571 for the same five cost settings; rankings also conflict
cost_figure_benchmark_ranking,claim_conflict,"Figure 3 places inverse volatility above several LLM curves at multiple costs, contradicting the table/note claim that all LLM strategies remain above it through 30 bps"
debate_weight_divergence_dates,data_window_conflict,"Figure 4C begins in 2017, over five years before the stated October-2022 price-history start and unlike adjacent Oct-2023 panels"
soft_landing_endpoint,label_conflict,"method defines Jan-2024 through Feb-2026, while Table 6 labels and note restrict the soft landing to 2024--2025"
rule_signal_domain,definition_conflict,"final Rule signal is defined as b in {-2,-1,0,1,2}, then conflict attenuation gamma=.5 creates half-level values"
rule_regime_residual,algorithm_conflict,"four positive scores are normalized to unit sum and risk-on is then called the residual, which makes risk-on identically zero unless an unstated ordering/scaling is used"
cyclical_cap_renormalization,algorithm_conflict,scaling cyclicals to .45 and then renormalizing the full unnormalized portfolio can make the resulting cyclical share exceed .45
risk_profile_definition,treatment_underspecified,Table 8 varies cyclical cap over ranges and changes trigger semantics without defining per-date cap selection or the complete alternative engine
prompt_schema,claim_artifact_gap,"prompt says output must follow the required JSON schema, but no schema is printed or released"
historical_band_input,claim_artifact_gap,prompt requires a historical 95% band absent from the feature definition and without a calculation rule
any_llm_comparison,statistic_undefined,"bootstrap row Any LLM vs inverse volatility does not define whether Any means maximum, average, pooled, or a multiple-comparison statistic"
incremental_rounding,rounding_unverifiable,incremental return/Sharpe cells do not equal differences of the rounded full-period cells and raw precision is absent
figure_arrays,static_only,"four raster figures totaling 12 panels are source assets without underlying values, plotting code, or run lineage"
