component,controlled_output,deterministic_control_passed,paper_derived_not_author_code,author_native_pipeline_executed,published_result_regenerated,paper_result_credit,boundary
rule_raw_tilt,-2.7,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
rule_discretization,-2,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
conflict_detection,true,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
conflict_attenuation,"[-1.0, 0.5]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
risk_off_score,0.8500000000000001,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
positive_cyclical_suppression,"[0.0, -1.0]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
agent_disagreement,1.5,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
debate_consensus,"[0.0, 0.0]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
inverse_volatility,"[0.6666666666666666, 0.3333333333333333]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
equal_weight_blend,"[0.5833333333333333, 0.41666666666666663]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
multiplicative_tilt,"[0.8999999999999999, 0.2]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
normalization,"[0.8181818181818181, 0.18181818181818182]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
one_way_turnover,0.5,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
turnover_scaling,"[0.5, 0.5]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
annual_metrics,"[0.3466666666666667, 0.11015141094572203, 3.147183169877773]",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
maximum_drawdown,-0.19999999999999996,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
hit_rate,0.5,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
transaction_cost,0.0095,True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
rule_regime_probabilities,"four regime scores are only proportional, then clipped and normalized to unit sum, while risk-on is called the residual; the constants and ordering are not defined",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
constrained_portfolio_weights,"the cyclical ETF set is not enumerated; scaling cyclicals to 0.45 then renormalizing can violate that cap; and normalization, cyclical cap, single-name cap, and turnover-cap projection order is not specified",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
stationary_bootstrap_test,"B=5000 and paired stationary resampling are stated, but the automatic block-length selector, seed, interval construction, p-value statistic, tail convention, and tie handling are not identified",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
llm_contract_validation,"the prompt requires a JSON schema, but the schema, complete dynamic input template, narrative generator, historical-band calculation, category-policy fields, validation/retry policy, and cached contracts are not released",True,True,False,False,False,"paper-derived controlled mechanic, not author code, native execution, or regeneration of a Macro Economists in the Machine result"
