table,row,metric,printed_value,source_tex_recovered,author_native_experiment_executed,published_result_regenerated,native_paper_result_credit,blocking_reason
ic_comparison,Momentum agent,raw_ic_p,-0.019 (5x10^-5),True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Momentum agent,llm_ic_p,+0.001 (0.58),True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Momentum agent,delta_ic,+0.020,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,News-Event agent,raw_ic_p,+0.003 (0.12),True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,News-Event agent,llm_ic_p,+0.006 (3x10^-4),True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,News-Event agent,delta_ic,+0.003,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Mean-Reversion agent,raw_ic_p,-0.005 (0.26),True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Mean-Reversion agent,llm_ic_p,-0.000 (0.97),True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Mean-Reversion agent,delta_ic,+0.005,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Risk-Regime agent,raw_ic_p,-0.006 (0.27),True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Risk-Regime agent,llm_ic_p,+0.011 (1x10^-4),True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Risk-Regime agent,delta_ic,+0.017,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Average,raw_ic_p,-0.007,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
