table_label,row_index,row_label,quantitative_column_index,printed_cell,unit_definition,source_document_recovered,raw_result_record_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
tab:summary,1,Random L/S,1,-8.4,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,2,-0.76,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,3,-21.1,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,4,-0.74,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,5,-7.8,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,6,-0.84,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,7,-17.9,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,8,-0.72,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,9,-7.7,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,10,-0.94,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,11,-16.6,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,1,Random L/S,12,-0.68,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,1,-18.4,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,2,-1.38,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,3,-23.9,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,4,-0.77,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,5,-17.9,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,6,-1.72,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,7,-27.7,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,8,-0.65,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,9,-18.3,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,10,-1.82,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,11,-24.5,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
tab:summary,2,Mean Reversion,12,-0.75,one populated displayed quantitative table cell,True,False,False,False,False,"the author code/data package, exact walk-forward split boundaries, Finnhub cache, model calls, rubric histories, daily scores/positions/returns, baseline seeds, and result generator are unrecovered"
